iteration,successes,reward_episode,episode_count,random_act,timestep
101,101,101,1,71,30
101,202,101,2,151,51
101,303,101,3,228,75
101,404,101,4,316,88
101,505,101,5,397,108
101,606,101,6,478,128
101,707,101,7,560,147
101,808,101,8,641,167
101,909,101,9,725,184
101,1010,101,10,800,210
101,1111,101,11,881,230
101,1212,101,12,962,250
105,1317,105,13,1050,267
101,1418,101,14,1127,291
105,1523,105,15,1209,314
109,1632,109,16,1299,333
101,1733,101,17,1382,351
101,1834,101,18,1464,370
101,1935,101,19,1549,386
101,2036,101,20,1629,407
101,2137,101,21,1709,428
101,2238,101,22,1784,454
101,2339,101,23,1865,474
101,2440,101,24,1943,497
101,2541,101,25,2022,519
101,2642,101,26,2101,541
32,2674,32,27,2132,542
101,2775,101,28,2212,563
101,2876,101,29,2288,588
101,2977,101,30,2370,607
137,3114,137,31,2480,634
101,3215,101,32,2562,653
42,3257,42,33,2597,660
101,3358,101,34,2677,681
101,3459,101,35,2753,706
101,3560,101,36,2828,732
101,3661,101,37,2903,758
73,3734,73,38,2970,764
101,3835,101,39,3050,785
101,3936,101,40,3135,801
101,4037,101,41,3215,822
114,4151,114,42,3308,843
101,4252,101,43,3378,874
101,4353,101,44,3457,896
101,4454,101,45,3533,921
32,4486,32,46,3564,922
101,4587,101,47,3641,946
109,4696,109,48,3727,969
101,4797,101,49,3811,986
101,4898,101,50,3890,1008
101,4999,101,51,3964,1035
81,5080,81,52,4037,1043
101,5181,101,53,4117,1064
101,5282,101,54,4198,1084
101,5383,101,55,4282,1101
101,5484,101,56,4367,1117
70,5554,70,57,4428,1126
113,5667,113,58,4522,1145
101,5768,101,59,4605,1163
88,5856,88,60,4678,1178
101,5957,101,61,4764,1193
101,6058,101,62,4846,1212
57,6115,57,63,4899,1216
101,6216,101,64,4976,1240
92,6308,92,65,5057,1251
101,6409,101,66,5140,1269
101,6510,101,67,5229,1281
101,6611,101,68,5307,1304
101,6712,101,69,5386,1326
101,6813,101,70,5468,1345
101,6914,101,71,5553,1361
101,7015,101,72,5635,1380
101,7116,101,73,5711,1405
101,7217,101,74,5796,1421
115,7332,115,75,5884,1448
112,7444,112,76,5973,1471
101,7545,101,77,6051,1494
101,7646,101,78,6131,1515
101,7747,101,79,6212,1535
101,7848,101,80,6288,1560
72,7920,72,81,6350,1570
96,8016,96,82,6424,1592
34,8050,34,83,6455,1595
101,8151,101,84,6532,1619
101,8252,101,85,6606,1646
101,8353,101,86,6686,1667
101,8454,101,87,6764,1690
101,8555,101,88,6843,1712
101,8656,101,89,6923,1733
101,8757,101,90,7005,1752
101,8858,101,91,7087,1771
101,8959,101,92,7168,1791
101,9060,101,93,7250,1810
101,9161,101,94,7330,1831
49,9210,49,95,7373,1837
103,9313,103,96,7453,1860
101,9414,101,97,7540,1874
101,9515,101,98,7620,1895
106,9621,106,99,7712,1909
101,9722,101,100,7787,1935
101,9823,101,101,7870,1953
101,9924,101,102,7950,1974
101,10025,101,103,8034,1991
66,10091,66,104,8088,2003
101,10192,101,105,8169,2023
83,10275,83,106,8242,2033
101,10376,101,107,8325,2051
101,10477,101,108,8403,2074
101,10578,101,109,8484,2094
102,10680,102,110,8566,2114
101,10781,101,111,8646,2135
101,10882,101,112,8729,2153
103,10985,103,113,8815,2170
48,11033,48,114,8858,2175
101,11134,101,115,8945,2189
101,11235,101,116,9032,2203
32,11267,32,117,9063,2204
101,11368,101,118,9141,2227
36,11404,36,119,9172,2232
101,11505,101,120,9251,2254
101,11606,101,121,9331,2275
32,11638,32,122,9360,2278
101,11739,101,123,9437,2302
32,11771,32,124,9465,2306
101,11872,101,125,9544,2328
110,11982,110,126,9629,2353
75,12057,75,127,9691,2366
101,12158,101,128,9766,2392
101,12259,101,129,9848,2411
101,12360,101,130,9927,2433
101,12461,101,131,10009,2452
73,12534,73,132,10072,2462
101,12635,101,133,10149,2486
101,12736,101,134,10230,2506
114,12850,114,135,10325,2525
101,12951,101,136,10405,2546
101,13052,101,137,10484,2568
101,13153,101,138,10563,2590
32,13185,32,139,10591,2594
101,13286,101,140,10674,2612
101,13387,101,141,10753,2634
101,13488,101,142,10829,2659
101,13589,101,143,10913,2676
101,13690,101,144,10987,2703
101,13791,101,145,11068,2723
