iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep,epsilon
26,26,0,0.0,1,26,0,1.0
73,99,0,0.0,2,99,0,0.9901493354116764
27,126,0,0.0,3,126,0,0.9803966865736877
21,147,0,0.0,4,146,1,0.970741078213023
38,185,0,0.0,5,182,3,0.9611815447608
13,198,0,0.0,6,194,4,0.9517171302557069
12,210,0,0.0,7,205,5,0.9423468882484062
36,246,0,0.0,8,239,7,0.9330698817068888
41,287,0,0.0,9,279,8,0.9238851829227694
34,321,0,0.0,10,311,10,0.9147918734185159
30,351,0,0.0,11,340,11,0.9057890438555999
10,361,0,0.0,12,348,13,0.896875793943563
67,428,0,0.0,13,406,22,0.888051232349986
64,492,0,0.0,14,462,30,0.8793144766113556
23,515,0,0.0,15,482,33,0.8706646530448178
90,605,0,0.0,16,560,45,0.8621008966608072
45,650,0,0.0,17,598,52,0.8536223510765493
36,686,0,0.0,18,629,57,0.8452281684304199
7,693,0,0.0,19,635,58,0.8369175092971592
11,704,0,0.0,20,645,59,0.8286895426039287
50,754,0,0.0,21,686,68,0.820543445547202
37,791,0,0.0,22,718,73,0.8124784035104852
57,848,0,0.0,23,766,82,0.8044936099828537
100,948,0,0.0,24,842,106,0.7965882664783007
18,966,0,0.0,25,857,109,0.7887615824558879
8,974,0,0.0,26,864,110,0.7810127752406908
25,999,0,0.0,27,885,114,0.7733410699455306
13,1012,0,0.0,28,895,117,0.7657456993934846
100,1112,0,0.0,29,972,140,0.7582259040411682
44,1156,0,0.0,30,1008,148,0.7507809319027796
17,1173,0,0.0,31,1018,155,0.7434100384749007
18,1191,0,0.0,32,1030,161,0.7361124866620463
23,1214,0,0.0,33,1048,166,0.7288875467029541
9,1223,0,0.0,34,1054,169,0.7217344960976069
100,1323,0,0.0,35,1121,202,0.7146526195349836
24,1347,0,0.0,36,1135,212,0.7076412088215263
17,1364,0,0.0,37,1148,216,0.7006995628103208
100,1464,0,0.0,38,1218,246,0.6938269873309811
