successes,iteration_mean,iteration_std,reward_episode_mean,reward_episode_std,episode_count_mean,episode_count_std,random_act_mean,random_act_std,timestep_mean,timestep_std,epsilon_mean,epsilon_std
4343,101.0,0.0,202.0,0.0,43.0,0.0,3540.7,24.50419465225406,802.3,24.50419465225404,0.6604763516169062,0.0
4444,101.0,0.0,202.0,0.0,44.0,0.0,3607.0,25.157283018817616,837.0,25.157283018817612,0.6540040037760834,0.0
4545,101.0,0.0,202.0,0.0,45.0,0.0,3673.2,23.943451900026627,871.8,23.943451900026645,0.64759605687231,0.0
4646,101.0,0.0,202.0,0.0,46.0,0.0,3741.6,26.899814125751863,904.4,26.89981412575187,0.6412518701055556,0.0
4747,101.0,0.0,202.0,0.0,47.0,0.0,3805.6,26.546395444788892,941.4,26.546395444788946,0.6349708090518567,0.0
4848,101.0,0.0,202.0,0.0,48.0,0.0,3869.2,28.007141946296496,978.8,28.007141946296482,0.6287522455998737,0.0
4949,101.0,0.0,202.0,0.0,49.0,0.0,3932.4,28.651934198816875,1016.6,28.651934198816893,0.6225955578880794,0.0
5050,101.0,0.0,202.0,0.0,50.0,0.0,3996.0,28.55404232912275,1054.0,28.554042329122744,0.616500130242572,0.0
5151,101.0,0.0,202.0,0.0,51.0,0.0,4059.0,32.39684483951418,1092.0,32.39684483951415,0.6104653531155071,0.0
5252,101.0,0.0,202.0,0.0,52.0,0.0,4119.8,31.891482666484265,1132.2,31.891482666484286,0.6044906230241432,0.0
5353,101.0,0.0,202.0,0.0,53.0,0.0,4181.8,31.971515099816266,1171.2,31.97151509981624,0.5985753424904925,0.0
5454,101.0,0.0,202.0,0.0,54.0,0.0,4239.8,32.34467155155204,1214.2,32.344671551552025,0.5927189199815717,0.0
5555,101.0,0.0,202.0,0.0,55.0,0.0,4299.4,36.03763464922618,1255.6,36.037634649226234,0.5869207698502498,0.0
5656,101.0,0.0,202.0,0.0,56.0,0.0,4359.2,35.11821306514456,1296.8,35.118213065144545,0.5811803122766818,0.0
5757,101.0,0.0,202.0,0.0,57.0,0.0,4413.4,35.46892223404096,1343.6,35.46892223404093,0.5754969732103268,0.0
5858,101.0,0.0,202.0,0.0,58.0,0.0,4469.4,35.68753283711278,1388.6,35.687532837112734,0.5698701843125418,0.0
5959,101.0,0.0,202.0,0.0,59.0,0.0,4528.6,35.715542835017885,1430.4,35.71554283501792,0.564299382899748,0.0
6060,101.0,0.0,202.0,0.0,60.0,0.0,4582.8,37.99064212261866,1477.2,37.99064212261868,0.558784011887162,0.0
6161,101.0,0.0,202.0,0.0,61.0,0.0,4638.3,38.285622482713876,1522.7,38.28562248271391,0.5533235197330862,0.0
6262,101.0,0.0,202.0,0.0,62.0,0.0,4695.9,37.73136037244827,1566.1,37.73136037244822,0.5479173603837548,0.0
6363,101.0,0.0,202.0,0.0,63.0,0.0,4749.4,39.093051385977404,1613.6,39.09305138597738,0.5425649932187278,0.0
6464,101.0,0.0,202.0,0.0,64.0,0.0,4800.9,36.87350750275271,1663.1,36.87350750275265,0.5372658829968282,0.0
6565,101.0,0.0,202.0,0.0,65.0,0.0,4852.5,37.95099178911899,1712.5,37.950991789119016,0.5320194998026181,0.0
6666,101.0,0.0,202.0,0.0,66.0,0.0,4905.5,35.556684009870466,1760.5,35.556684009870445,0.5268253189934059,0.0
6767,101.0,0.0,202.0,0.0,67.0,0.0,4959.1,34.6456667163763,1807.9,34.64566671637626,0.5216828211467822,0.0
6868,101.0,0.0,202.0,0.0,68.0,0.0,5012.7,32.0695424905869,1855.3,32.069542490586834,0.516591492008677,0.0
6969,101.0,0.0,202.0,0.0,69.0,0.0,5065.6,31.97638017175943,1903.4,31.976380171759413,0.5115508224419336,0.0
7070,101.0,0.0,202.0,0.0,70.0,0.0,5118.0,32.98821338330134,1952.0,32.98821338330134,0.5065603083753949,0.0
7171,101.0,0.0,202.0,0.0,71.0,0.0,5167.0,35.159951965584675,2004.0,35.15995196558468,0.5016194507534953,0.0
7272,101.0,0.0,202.0,0.0,72.0,0.0,5217.9,32.87839547315055,2054.1,32.8783954731506,0.49672775548635534,0.0
7373,101.0,0.0,202.0,0.0,73.0,0.0,5267.0,33.68811198166033,2106.0,33.68811198166037,0.49188473340037203,0.0
7474,101.0,0.0,202.0,0.0,74.0,0.0,5315.1,33.248057587373935,2158.9,33.24805758737395,0.4870899001893004,0.0
7575,101.0,0.0,202.0,0.0,75.0,0.0,5363.3,32.6634352143188,2211.7,32.66343521431875,0.482342776365824,0.0
7676,101.0,0.0,202.0,0.0,76.0,0.0,5411.7,34.06872139922168,2264.3,34.06872139922151,0.47764288721360443,0.0
7777,101.0,0.0,202.0,0.0,77.0,0.0,5459.1,30.910084654257044,2317.9,30.910084654256977,0.4729897627398101,0.0
7878,101.0,0.0,202.0,0.0,78.0,0.0,5506.5,31.693847983480996,2371.5,31.69384798348094,0.4683829376281158,0.0
7979,101.0,0.0,202.0,0.0,79.0,0.0,5552.8,35.05170783602752,2426.2,35.05170783602742,0.46382195119217134,0.0
8080,101.0,0.0,202.0,0.0,80.0,0.0,5597.5,35.87710504857755,2482.5,35.87710504857756,0.4593063473295323,0.0
8181,101.0,0.0,202.0,0.0,81.0,0.0,5641.2,36.45941426969032,2539.8,36.459414269690136,0.4548356744760492,0.0
8282,101.0,0.0,202.0,0.0,82.0,0.0,5688.2,36.934777348425555,2593.8,36.9347773484257,0.4504094855607117,0.0
8383,101.0,0.0,202.0,0.0,83.0,0.0,5733.4,37.42013718129131,2649.6,37.420137181291445,0.4460273379609392,0.0
8484,101.0,0.0,202.0,0.0,84.0,0.0,5780.6,37.464650005037996,2703.4,37.46465000503812,0.4416887934583202,0.0
8585,101.0,0.0,202.0,0.0,85.0,0.0,5825.4,37.0860860401549,2759.6,37.086086040155,0.4373934181947889,0.0
8686,101.0,0.0,202.0,0.0,86.0,0.0,5868.0,37.27972341337556,2818.0,37.279723413375514,0.4331407826292394,0.0
8787,101.0,0.0,202.0,0.0,87.0,0.0,5911.1,39.680529790370066,2875.9,39.68052979037004,0.42893046149457137,0.0
8888,101.0,0.0,202.0,0.0,88.0,0.0,5957.3,39.98624763590615,2930.7,39.98624763590602,0.42476203375516264,0.0
8989,101.0,0.0,202.0,0.0,89.0,0.0,6002.5,39.25203462525503,2986.5,39.252034625255064,0.42063508256476545,0.0
9090,101.0,0.0,202.0,0.0,90.0,0.0,6043.6,38.635619719516825,3046.4,38.63561971951672,0.41654919522482203,0.0
9191,101.0,0.0,202.0,0.0,91.0,0.0,6086.9,35.42582234597935,3104.1,35.42582234597936,0.4125039631431931,0.0
9292,101.0,0.0,202.0,0.0,92.0,0.0,6129.1,34.109138560411175,3162.9,34.10913856041125,0.40849898179329963,0.0
9393,101.0,0.0,202.0,0.0,93.0,0.0,6170.2,34.95648088059714,3222.8,34.95648088059715,0.404533850673669,0.0
9494,101.0,0.0,202.0,0.0,94.0,0.0,6210.3,36.67893734071958,3283.7,36.67893734071978,0.400608173267885,0.0
9595,101.0,0.0,202.0,0.0,95.0,0.0,6248.4,39.84190981589328,3346.6,39.841909815893274,0.3967215570049359,0.0
9696,101.0,0.0,202.0,0.0,96.0,0.0,6289.5,40.61814044652135,3406.5,40.61814044652137,0.3928736132199562,0.0
9797,101.0,0.0,202.0,0.0,97.0,0.0,6326.0,42.20584477691844,3471.0,42.20584477691844,0.3890639571153609,0.0
9898,101.0,0.0,202.0,0.0,98.0,0.0,6363.7,40.04455851506748,3534.3,40.04455851506762,0.3852922077223648,0.0
9999,101.0,0.0,202.0,0.0,99.0,0.0,6403.1,37.1676382533695,3595.9,37.167638253369525,0.3815579878628856,0.0
10100,101.0,0.0,202.0,0.0,100.0,0.0,6442.5,35.27117173493891,3657.5,35.27117173493896,0.3778609241118252,0.0
10201,101.0,0.0,202.0,0.0,101.0,0.0,6480.9,34.21322031677869,3720.1,34.21322031677881,0.3742006467597279,0.0
10302,101.0,0.0,202.0,0.0,102.0,0.0,6516.0,33.182994305985844,3786.0,33.182994305986256,0.3705767897758081,0.0
10403,101.0,0.0,202.0,0.0,103.0,0.0,6550.5,34.22880528314031,3852.5,34.22880528314016,0.3669889907713475,0.0
10504,101.0,0.0,202.0,0.0,104.0,0.0,6584.7,32.92769857328829,3919.3,32.92769857328842,0.3634368909634559,0.0
10605,101.0,0.0,202.0,0.0,105.0,0.0,6621.3,30.346334210247257,3983.7,30.346334210246773,0.3599201351391923,0.0
10706,101.0,0.0,202.0,0.0,106.0,0.0,6658.7,29.66872652024913,4047.3,29.668726520249095,0.3564383716200437,0.0
10807,101.0,0.0,202.0,0.0,107.0,0.0,6694.9,30.48660908224037,4112.1,30.48660908224037,0.3529912522267568,0.0
10908,101.0,0.0,202.0,0.0,108.0,0.0,6729.2,31.797274516327324,4178.8,31.797274516327324,0.3495784322445195,0.0
11009,101.0,0.0,202.0,0.0,109.0,0.0,6761.8,32.778041430201455,4247.2,32.778041430201455,0.3461995703884897,0.0
11110,101.0,0.0,202.0,0.0,110.0,0.0,6794.2,35.81681789947899,4315.8,35.81681789947899,0.342854328769666,0.0
11211,101.0,0.0,202.0,0.0,111.0,0.0,6828.4,36.46368056025087,4382.6,36.46368056025087,0.3395423728610988,0.0
11312,101.0,0.0,202.0,0.0,112.0,0.0,6861.9,33.600429891429485,4450.1,33.600429891429485,0.3362633714644372,0.0
11413,101.0,0.0,202.0,0.0,113.0,0.0,6895.0,33.27327923591413,4518.0,33.27327923591413,0.333016996676809,0.0
11514,101.0,0.0,202.0,0.0,114.0,0.0,6927.8,33.48565198542339,4586.2,33.48565198542339,0.3298029238580304,0.0
11615,101.0,0.0,202.0,0.0,115.0,0.0,6959.5,32.438831325708314,4655.5,32.438831325708314,0.3266208315981408,0.0
11716,101.0,0.0,202.0,0.0,116.0,0.0,6991.6,34.26757456644208,4724.4,34.26757456644208,0.3234704016852626,0.0
11817,101.0,0.0,202.0,0.0,117.0,0.0,7026.1,35.579176181831194,4790.9,35.579176181831194,0.3203513190737793,0.0
11918,101.0,0.0,202.0,0.0,118.0,0.0,7059.1,37.80196937844503,4858.9,37.80196937844503,0.3172632718528302,0.0
12019,101.0,0.0,202.0,0.0,119.0,0.0,7090.3,38.043980396961985,4928.7,38.043980396961985,0.3142059512151199,0.0
12120,101.0,0.0,202.0,0.0,120.0,0.0,7121.8,38.94383420032268,4998.2,38.94383420032268,0.311179051426037,0.0
12221,101.0,0.0,202.0,0.0,121.0,0.0,7155.0,38.78143885933062,5066.0,38.78143885933062,0.3081822697930801,0.0
12322,101.0,0.0,202.0,0.0,122.0,0.0,7183.9,37.960359440986366,5138.1,37.960359440986366,0.3052153066355885,0.0
12423,101.0,0.0,202.0,0.0,123.0,0.0,7215.0,42.25320500664215,5208.0,42.25320500664215,0.302277865254774,0.0
12524,101.0,0.0,202.0,0.0,124.0,0.0,7243.7,43.904062074785976,5280.3,43.904062074785976,0.2993696519040508,0.0
12625,101.0,0.0,202.0,0.0,125.0,0.0,7273.2,42.92318720691649,5351.8,42.92318720691649,0.2964903757596601,0.0
12726,101.0,0.0,202.0,0.0,126.0,0.0,7303.0,44.27690644618763,5423.0,44.27690644618763,0.2936397488915881,0.0
12827,101.0,0.0,202.0,0.0,127.0,0.0,7334.4,47.47209706764597,5492.6,47.47209706764597,0.2908174862347727,0.0
12928,101.0,0.0,202.0,0.0,128.0,0.0,7362.5,51.59941860137568,5565.5,51.59941860137568,0.2880233055605959,0.0
13029,101.0,0.0,202.0,0.0,129.0,0.0,7391.2,53.36623984838687,5637.8,53.36623984838687,0.2852569274486622,0.0
13130,101.0,0.0,202.0,0.0,130.0,0.0,7420.6,52.78509890742507,5709.4,52.78509890742507,0.2825180752588548,0.0
13231,101.0,0.0,202.0,0.0,131.0,0.0,7452.4,50.8837454945641,5778.6,50.8837454945641,0.2798064751036724,0.0
13332,101.0,0.0,202.0,0.0,132.0,0.0,7480.4,50.539753330093156,5851.6,50.539753330093156,0.2771218558208399,0.0
13433,101.0,0.0,202.0,0.0,133.0,0.0,7505.6,47.74748393603808,5927.4,47.74748393603808,0.2744639489461918,0.0
13534,101.0,0.0,202.0,0.0,134.0,0.0,7531.1,48.22965892477359,6002.9,48.22965892477359,0.2718324886868257,0.0
13635,101.0,0.0,202.0,0.0,135.0,0.0,7556.6,51.13859164618781,6078.4,51.13859164618781,0.2692272118945227,0.0
13736,101.0,0.0,202.0,0.0,136.0,0.0,7581.8,52.61136336910063,6154.2,52.61136336910063,0.2666478580394326,0.0
13837,101.0,0.0,202.0,0.0,137.0,0.0,7605.7,52.67099138361978,6231.3,52.67099138361978,0.2640941691840203,0.0
13938,101.0,0.0,202.0,0.0,138.0,0.0,7633.2,54.354392646776866,6304.8,54.354392646776866,0.2615658899572722,0.0
14039,101.0,0.0,202.0,0.0,139.0,0.0,7657.9,53.2508737539165,6381.1,53.2508737539165,0.2590627675291589,0.0
