iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep,epsilon
39,39,0,0.0,1,39,0,1.0
31,70,0,0.0,2,70,0,0.9901493354116764
7,77,0,0.0,3,77,0,0.9803966865736877
16,93,0,0.0,4,93,0,0.970741078213023
15,108,0,0.0,5,107,1,0.9611815447608
20,128,0,0.0,6,126,2,0.9517171302557069
63,191,0,0.0,7,186,5,0.9423468882484062
37,228,0,0.0,8,221,7,0.9330698817068888
14,242,0,0.0,9,235,7,0.9238851829227694
100,342,0,0.0,10,321,21,0.9147918734185159
10,352,0,0.0,11,330,22,0.9057890438555999
18,370,0,0.0,12,346,24,0.896875793943563
8,378,0,0.0,13,354,24,0.888051232349986
58,436,0,0.0,14,404,32,0.8793144766113556
25,461,0,0.0,15,428,33,0.8706646530448178
63,524,0,0.0,16,482,42,0.8621008966608072
36,560,0,0.0,17,513,47,0.8536223510765493
16,576,0,0.0,18,524,52,0.8452281684304199
60,636,0,0.0,19,569,67,0.8369175092971592
13,649,0,0.0,20,581,68,0.8286895426039287
16,665,0,0.0,21,593,72,0.820543445547202
22,687,0,0.0,22,612,75,0.8124784035104852
35,722,0,0.0,23,640,82,0.8044936099828537
58,780,0,0.0,24,681,99,0.7965882664783007
41,821,0,0.0,25,710,111,0.7887615824558879
75,896,0,0.0,26,769,127,0.7810127752406908
11,907,0,0.0,27,779,128,0.7733410699455306
32,939,0,0.0,28,803,136,0.7657456993934846
79,1018,0,0.0,29,863,155,0.7582259040411682
61,1079,0,0.0,30,910,169,0.7507809319027796
22,1101,0,0.0,31,925,176,0.7434100384749007
100,1201,0,0.0,32,999,202,0.7361124866620463
82,1283,0,0.0,33,1059,224,0.7288875467029541
100,1383,0,0.0,34,1128,255,0.7217344960976069
13,1396,0,0.0,35,1141,255,0.7146526195349836
100,1496,0,0.0,36,1201,295,0.7076412088215263
11,1507,0,0.0,37,1210,297,0.7006995628103208
15,1522,0,0.0,38,1222,300,0.6938269873309811
29,1551,0,0.0,39,1245,306,0.6870227951202322
33,1584,0,0.0,40,1274,310,0.680286305753183
70,1654,0,0.0,41,1320,334,0.6736168455752829
100,1754,0,0.0,42,1376,378,0.6670137476349562
84,1838,0,0.0,43,1422,416,0.6604763516169062
26,1864,0,0.0,44,1436,428,0.6540040037760834
100,1964,0,0.0,45,1503,461,0.64759605687231
58,2022,0,0.0,46,1548,474,0.6412518701055556
53,2075,0,0.0,47,1585,490,0.6349708090518567
100,2175,0,0.0,48,1647,528,0.6287522455998737
100,2275,0,0.0,49,1703,572,0.6225955578880794
100,2375,0,0.0,50,1768,607,0.616500130242572
100,2475,0,0.0,51,1818,657,0.6104653531155071
100,2575,0,0.0,52,1882,693,0.6044906230241432
100,2675,0,0.0,53,1939,736,0.5985753424904925
67,2742,0,0.0,54,1981,761,0.5927189199815717
32,2774,0,0.0,55,2001,773,0.5869207698502498
100,2874,0,0.0,56,2060,814,0.5811803122766818
100,2974,0,0.0,57,2120,854,0.5754969732103268
100,3074,0,0.0,58,2171,903,0.5698701843125418
100,3174,0,0.0,59,2222,952,0.564299382899748
19,3193,0,0.0,60,2237,956,0.558784011887162
26,3219,0,0.0,61,2251,968,0.5533235197330862
100,3319,0,0.0,62,2301,1018,0.5479173603837548
63,3382,0,0.0,63,2339,1043,0.5425649932187278
100,3482,0,0.0,64,2392,1090,0.5372658829968282
