iteration,successes,reward_episode,episode_count,random_act,timestep
101,101,101,1,71,30
106,207,106,2,155,52
101,308,101,3,233,75
101,409,101,4,321,88
101,510,101,5,401,109
101,611,101,6,483,128
101,712,101,7,563,149
65,777,65,8,616,161
55,832,55,9,664,168
101,933,101,10,738,195
101,1034,101,11,821,213
101,1135,101,12,901,234
101,1236,101,13,981,255
101,1337,101,14,1066,271
101,1438,101,15,1140,298
101,1539,101,16,1222,317
117,1656,117,17,1319,337
101,1757,101,18,1401,356
101,1858,101,19,1484,374
101,1959,101,20,1568,391
101,2060,101,21,1647,413
101,2161,101,22,1727,434
101,2262,101,23,1804,458
101,2363,101,24,1884,479
101,2464,101,25,1960,504
101,2565,101,26,2041,524
101,2666,101,27,2125,541
101,2767,101,28,2208,559
101,2868,101,29,2285,583
101,2969,101,30,2363,606
101,3070,101,31,2443,627
109,3179,109,32,2535,644
101,3280,101,33,2616,664
101,3381,101,34,2699,682
101,3482,101,35,2767,715
101,3583,101,36,2845,738
101,3684,101,37,2922,762
48,3732,48,38,2968,764
101,3833,101,39,3049,784
101,3934,101,40,3133,801
101,4035,101,41,3214,821
101,4136,101,42,3295,841
101,4237,101,43,3368,869
101,4338,101,44,3444,894
101,4439,101,45,3519,920
45,4484,45,46,3562,922
101,4585,101,47,3639,946
101,4686,101,48,3719,967
69,4755,69,49,3776,979
101,4856,101,50,3857,999
101,4957,101,51,3928,1029
109,5066,109,52,4024,1042
58,5124,58,53,4074,1050
101,5225,101,54,4153,1072
101,5326,101,55,4235,1091
101,5427,101,56,4318,1109
76,5503,76,57,4386,1117
101,5604,101,58,4471,1133
101,5705,101,59,4554,1151
101,5806,101,60,4637,1169
57,5863,57,61,4685,1178
106,5969,106,62,4774,1195
101,6070,101,63,4857,1213
47,6117,47,64,4901,1216
101,6218,101,65,4978,1240
90,6308,90,66,5057,1251
103,6411,103,67,5141,1270
101,6512,101,68,5230,1282
101,6613,101,69,5308,1305
101,6714,101,70,5387,1327
101,6815,101,71,5470,1345
101,6916,101,72,5555,1361
101,7017,101,73,5636,1381
101,7118,101,74,5713,1405
101,7219,101,75,5797,1422
115,7334,115,76,5886,1448
101,7435,101,77,5966,1469
101,7536,101,78,6043,1493
101,7637,101,79,6124,1513
101,7738,101,80,6206,1532
101,7839,101,81,6284,1555
101,7940,101,82,6362,1578
51,7991,51,83,6402,1589
60,8051,60,84,6455,1596
101,8152,101,85,6533,1619
101,8253,101,86,6606,1647
101,8354,101,87,6687,1667
101,8455,101,88,6765,1690
101,8556,101,89,6844,1712
101,8657,101,90,6924,1733
110,8767,110,91,7014,1753
101,8868,101,92,7096,1772
101,8969,101,93,7177,1792
101,9070,101,94,7256,1814
101,9171,101,95,7338,1833
38,9209,38,96,7372,1837
101,9310,101,97,7451,1859
101,9411,101,98,7537,1874
101,9512,101,99,7618,1894
102,9614,102,100,7707,1907
101,9715,101,101,7782,1933
101,9816,101,102,7865,1951
101,9917,101,103,7943,1974
101,10018,101,104,8027,1991
101,10119,101,105,8111,2008
36,10155,36,106,8143,2012
101,10256,101,107,8223,2033
101,10357,101,108,8308,2049
101,10458,101,109,8386,2072
101,10559,101,110,8467,2092
101,10660,101,111,8547,2113
101,10761,101,112,8630,2131
111,10872,111,113,8720,2152
101,10973,101,114,8804,2169
51,11024,51,115,8851,2173
101,11125,101,116,8939,2186
101,11226,101,117,9024,2202
43,11269,43,118,9064,2205
101,11370,101,119,9142,2228
32,11402,32,120,9171,2231
103,11505,103,121,9251,2254
101,11606,101,122,9331,2275
32,11638,32,123,9360,2278
101,11739,101,124,9437,2302
32,11771,32,125,9465,2306
101,11872,101,126,9544,2328
109,11981,109,127,9628,2353
76,12057,76,128,9691,2366
101,12158,101,129,9766,2392
101,12259,101,130,9848,2411
101,12360,101,131,9927,2433
103,12463,103,132,10010,2453
70,12533,70,133,10071,2462
101,12634,101,134,10148,2486
101,12735,101,135,10229,2506
119,12854,119,136,10328,2526
101,12955,101,137,10408,2547
101,13056,101,138,10487,2569
101,13157,101,139,10566,2591
101,13258,101,140,10650,2608
101,13359,101,141,10728,2631
101,13460,101,142,10808,2652
76,13536,76,143,10871,2665
101,13637,101,144,10948,2689
102,13739,102,145,11025,2714
137,13876,137,146,11132,2744
101,13977,101,147,11210,2767
101,14078,101,148,11292,2786
101,14179,101,149,11377,2802
101,14280,101,150,11454,2826
101,14381,101,151,11534,2847
101,14482,101,152,11616,2866
101,14583,101,153,11699,2884
101,14684,101,154,11778,2906
32,14716,32,155,11808,2908
101,14817,101,156,11886,2931
101,14918,101,157,11967,2951
101,15019,101,158,12048,2971
101,15120,101,159,12123,2997
101,15221,101,160,12207,3014
32,15253,32,161,12234,3019
101,15354,101,162,12319,3035
101,15455,101,163,12399,3056
32,15487,32,164,12427,3060
105,15592,105,165,12508,3084
101,15693,101,166,12591,3102
101,15794,101,167,12668,3126
101,15895,101,168,12753,3142
50,15945,50,169,12798,3147
101,16046,101,170,12879,3167
64,16110,64,171,12935,3175
101,16211,101,172,13015,3196
101,16312,101,173,13091,3221
101,16413,101,174,13173,3240
101,16514,101,175,13247,3267
101,16615,101,176,13327,3288
101,16716,101,177,13414,3302
107,16823,107,178,13502,3321
101,16924,101,179,13590,3334
101,17025,101,180,13660,3365
101,17126,101,181,13743,3383
101,17227,101,182,13826,3401
109,17336,109,183,13913,3423
101,17437,101,184,13993,3444
101,17538,101,185,14071,3467
34,17572,34,186,14097,3475
101,17673,101,187,14185,3488
101,17774,101,188,14260,3514
101,17875,101,189,14335,3540
103,17978,103,190,14423,3555
101,18079,101,191,14501,3578
101,18180,101,192,14587,3593
101,18281,101,193,14667,3614
79,18360,79,194,14730,3630
101,18461,101,195,14803,3658
101,18562,101,196,14888,3674
101,18663,101,197,14967,3696
101,18764,101,198,15048,3716
51,18815,51,199,15094,3721
101,18916,101,200,15178,3738
101,19017,101,201,15255,3762
101,19118,101,202,15335,3783
101,19219,101,203,15415,3804
101,19320,101,204,15498,3822
101,19421,101,205,15573,3848
101,19522,101,206,15648,3874
101,19623,101,207,15729,3894
74,19697,74,208,15792,3905
101,19798,101,209,15875,3923
71,19869,71,210,15936,3933
101,19970,101,211,16015,3955
101,20071,101,212,16098,3973
101,20172,101,213,16179,3993
101,20273,101,214,16259,4014
97,20370,97,215,16341,4029
101,20471,101,216,16420,4051
101,20572,101,217,16505,4067
101,20673,101,218,16588,4085
101,20774,101,219,16666,4108
101,20875,101,220,16742,4133
101,20976,101,221,16819,4157
54,21030,54,222,16867,4163
101,21131,101,223,16949,4182
101,21232,101,224,17026,4206
86,21318,86,225,17102,4216
115,21433,115,226,17195,4238
101,21534,101,227,17274,4260
101,21635,101,228,17354,4281
101,21736,101,229,17434,4302
101,21837,101,230,17511,4326
101,21938,101,231,17591,4347
101,22039,101,232,17673,4366
101,22140,101,233,17756,4384
101,22241,101,234,17837,4404
101,22342,101,235,17920,4422
42,22384,42,236,17956,4428
101,22485,101,237,18038,4447
101,22586,101,238,18122,4464
101,22687,101,239,18203,4484
101,22788,101,240,18283,4505
71,22859,71,241,18344,4515
101,22960,101,242,18427,4533
101,23061,101,243,18510,4551
101,23162,101,244,18593,4569
101,23263,101,245,18675,4588
101,23364,101,246,18756,4608
103,23467,103,247,18840,4627
101,23568,101,248,18921,4647
101,23669,101,249,18999,4670
101,23770,101,250,19088,4682
101,23871,101,251,19170,4701
101,23972,101,252,19253,4719
101,24073,101,253,19339,4734
137,24210,137,254,19453,4757
101,24311,101,255,19534,4777
103,24414,103,256,19618,4796
101,24515,101,257,19696,4819
108,24623,108,258,19787,4836
101,24724,101,259,19869,4855
101,24825,101,260,19950,4875
101,24926,101,261,20028,4898
83,25009,83,262,20102,4907
101,25110,101,263,20183,4927
58,25168,58,264,20234,4934
101,25269,101,265,20315,4954
101,25370,101,266,20394,4976
32,25402,32,267,20422,4980
101,25503,101,268,20503,5000
101,25604,101,269,20586,5018
101,25705,101,270,20672,5033
101,25806,101,271,20757,5049
101,25907,101,272,20839,5068
101,26008,101,273,20917,5091
45,26053,45,274,20955,5098
101,26154,101,275,21031,5123
101,26255,101,276,21108,5147
101,26356,101,277,21187,5169
101,26457,101,278,21275,5182
73,26530,73,279,21339,5191
101,26631,101,280,21421,5210
101,26732,101,281,21503,5229
101,26833,101,282,21579,5254
101,26934,101,283,21659,5275
101,27035,101,284,21744,5291
101,27136,101,285,21820,5316
32,27168,32,286,21850,5318
101,27269,101,287,21933,5336
102,27371,102,288,22015,5356
101,27472,101,289,22097,5375
101,27573,101,290,22171,5402
113,27686,113,291,22262,5424
101,27787,101,292,22350,5437
101,27888,101,293,22431,5457
91,27979,91,294,22510,5469
107,28086,107,295,22593,5493
101,28187,101,296,22668,5519
101,28288,101,297,22750,5538
58,28346,58,298,22801,5545
101,28447,101,299,22879,5568
