iteration,successes,reward_episode,episode_count,random_act,timestep
101,20774,101,217,16666,4108
101,20875,101,218,16742,4133
101,20976,101,219,16819,4157
54,21030,54,220,16867,4163
101,21131,101,221,16949,4182
101,21232,101,222,17026,4206
86,21318,86,223,17102,4216
101,21419,101,224,17184,4235
101,21520,101,225,17264,4256
101,21621,101,226,17342,4279
101,21722,101,227,17426,4296
101,21823,101,228,17498,4325
101,21924,101,229,17580,4344
101,22025,101,230,17660,4365
105,22130,105,231,17749,4381
101,22231,101,232,17829,4402
101,22332,101,233,17912,4420
53,22385,53,234,17957,4428
106,22491,106,235,18043,4448
101,22592,101,236,18128,4464
101,22693,101,237,18207,4486
101,22794,101,238,18286,4508
66,22860,66,239,18344,4516
101,22961,101,240,18428,4533
101,23062,101,241,18511,4551
101,23163,101,242,18594,4569
101,23264,101,243,18676,4588
101,23365,101,244,18757,4608
105,23470,105,245,18842,4628
101,23571,101,246,18924,4647
108,23679,108,247,19007,4672
101,23780,101,248,19097,4683
101,23881,101,249,19178,4703
137,24018,137,250,19294,4724
101,24119,101,251,19374,4745
93,24212,93,252,19454,4758
101,24313,101,253,19536,4777
101,24414,101,254,19618,4796
101,24515,101,255,19696,4819
104,24619,104,256,19783,4836
101,24720,101,257,19866,4854
101,24821,101,258,19946,4875
101,24922,101,259,20025,4897
88,25010,88,260,20103,4907
101,25111,101,261,20183,4928
57,25168,57,262,20234,4934
101,25269,101,263,20315,4954
101,25370,101,264,20394,4976
32,25402,32,265,20422,4980
101,25503,101,266,20503,5000
101,25604,101,267,20586,5018
101,25705,101,268,20672,5033
101,25806,101,269,20757,5049
107,25913,107,270,20844,5069
101,26014,101,271,20923,5091
36,26050,36,272,20952,5098
101,26151,101,273,21029,5122
101,26252,101,274,21106,5146
105,26357,105,275,21188,5169
101,26458,101,276,21276,5182
72,26530,72,277,21339,5191
101,26631,101,278,21421,5210
101,26732,101,279,21503,5229
101,26833,101,280,21579,5254
101,26934,101,281,21659,5275
101,27035,101,282,21744,5291
101,27136,101,283,21820,5316
32,27168,32,284,21850,5318
111,27279,111,285,21942,5337
101,27380,101,286,22024,5356
101,27481,101,287,22104,5377
101,27582,101,288,22179,5403
106,27688,106,289,22264,5424
101,27789,101,290,22351,5438
101,27890,101,291,22433,5457
88,27978,88,292,22509,5469
101,28079,101,293,22586,5493
101,28180,101,294,22663,5517
115,28295,115,295,22756,5539
47,28342,47,296,22797,5545
101,28443,101,297,22876,5567
101,28544,101,298,22946,5598
101,28645,101,299,23032,5613
101,28746,101,300,23117,5629
86,28832,86,301,23188,5644
101,28933,101,302,23257,5676
101,29034,101,303,23338,5696
75,29109,75,304,23402,5707
101,29210,101,305,23478,5732
97,29307,97,306,23553,5754
101,29408,101,307,23637,5771
101,29509,101,308,23714,5795
101,29610,101,309,23793,5817
101,29711,101,310,23876,5835
51,29762,51,311,23916,5846
101,29863,101,312,23996,5867
101,29964,101,313,24072,5892
101,30065,101,314,24158,5907
103,30168,103,315,24244,5924
101,30269,101,316,24322,5947
101,30370,101,317,24409,5961
110,30480,110,318,24494,5986
101,30581,101,319,24578,6003
101,30682,101,320,24654,6028
108,30790,108,321,24745,6045
101,30891,101,322,24824,6067
114,31005,114,323,24921,6084
101,31106,101,324,24998,6108
101,31207,101,325,25077,6130
101,31308,101,326,25156,6152
113,31421,113,327,25245,6176
101,31522,101,328,25322,6200
101,31623,101,329,25406,6217
101,31724,101,330,25492,6232
32,31756,32,331,25520,6236
101,31857,101,332,25598,6259
101,31958,101,333,25677,6281
101,32059,101,334,25754,6305
101,32160,101,335,25830,6330
101,32261,101,336,25911,6350
101,32362,101,337,25987,6375
101,32463,101,338,26067,6396
101,32564,101,339,26146,6418
101,32665,101,340,26219,6446
101,32766,101,341,26306,6460
44,32810,44,342,26343,6467
101,32911,101,343,26423,6488
101,33012,101,344,26502,6510
101,33113,101,345,26590,6523
101,33214,101,346,26666,6548
47,33261,47,347,26710,6551
101,33362,101,348,26793,6569
95,33457,95,349,26870,6587
101,33558,101,350,26949,6609
101,33659,101,351,27025,6634
32,33691,32,352,27052,6639
101,33792,101,353,27132,6660
102,33894,102,354,27215,6679
101,33995,101,355,27289,6706
101,34096,101,356,27370,6726
101,34197,101,357,27453,6744
101,34298,101,358,27535,6763
101,34399,101,359,27616,6783
60,34459,60,360,27670,6789
101,34560,101,361,27753,6807
101,34661,101,362,27834,6827
101,34762,101,363,27912,6850
101,34863,101,364,27992,6871
101,34964,101,365,28074,6890
101,35065,101,366,28156,6909
101,35166,101,367,28236,6930
101,35267,101,368,28313,6954
101,35368,101,369,28395,6973
32,35400,32,370,28424,6976
103,35503,103,371,28507,6996
101,35604,101,372,28591,7013
101,35705,101,373,28673,7032
101,35806,101,374,28759,7047
101,35907,101,375,28837,7070
101,36008,101,376,28918,7090
