iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep,epsilon
17,17,0,0.0,1,17,0,1.0
8,25,0,0.0,2,25,0,0.9901493354116764
11,36,0,0.0,3,35,1,0.9803966865736877
88,124,0,0.0,4,120,4,0.970741078213023
8,132,0,0.0,5,128,4,0.9611815447608
48,180,0,0.0,6,173,7,0.9517171302557069
18,198,0,0.0,7,191,7,0.9423468882484062
9,207,0,0.0,8,200,7,0.9330698817068888
24,231,0,0.0,9,222,9,0.9238851829227694
51,282,0,0.0,10,269,13,0.9147918734185159
13,295,0,0.0,11,282,13,0.9057890438555999
48,343,0,0.0,12,323,20,0.896875793943563
43,386,0,0.0,13,361,25,0.888051232349986
21,407,0,0.0,14,381,26,0.8793144766113556
12,419,0,0.0,15,391,28,0.8706646530448178
66,485,0,0.0,16,446,39,0.8621008966608072
51,536,0,0.0,17,492,44,0.8536223510765493
48,584,0,0.0,18,528,56,0.8452281684304199
100,684,0,0.0,19,614,70,0.8369175092971592
26,710,0,0.0,20,637,73,0.8286895426039287
100,810,0,0.0,21,715,95,0.820543445547202
31,841,0,0.0,22,740,101,0.8124784035104852
9,850,0,0.0,23,747,103,0.8044936099828537
31,881,0,0.0,24,771,110,0.7965882664783007
20,901,0,0.0,25,786,115,0.7887615824558879
28,929,0,0.0,26,810,119,0.7810127752406908
15,944,0,0.0,27,817,127,0.7733410699455306
32,976,0,0.0,28,841,135,0.7657456993934846
44,1020,0,0.0,29,871,149,0.7582259040411682
15,1035,0,0.0,30,879,156,0.7507809319027796
21,1056,0,0.0,31,894,162,0.7434100384749007
15,1071,0,0.0,32,906,165,0.7361124866620463
15,1086,0,0.0,33,917,169,0.7288875467029541
38,1124,0,0.0,34,943,181,0.7217344960976069
72,1196,0,0.0,35,994,202,0.7146526195349836
16,1212,0,0.0,36,1005,207,0.7076412088215263
71,1283,0,0.0,37,1046,237,0.7006995628103208
22,1305,0,0.0,38,1066,239,0.6938269873309811
16,1321,0,0.0,39,1077,244,0.6870227951202322
9,1330,0,0.0,40,1084,246,0.680286305753183
86,1416,0,0.0,41,1138,278,0.6736168455752829
27,1443,0,0.0,42,1153,290,0.6670137476349562
41,1484,0,0.0,43,1181,303,0.6604763516169062
19,1503,0,0.0,44,1198,305,0.6540040037760834
40,1543,0,0.0,45,1226,317,0.64759605687231
73,1616,0,0.0,46,1279,337,0.6412518701055556
25,1641,0,0.0,47,1293,348,0.6349708090518567
27,1668,0,0.0,48,1310,358,0.6287522455998737
74,1742,0,0.0,49,1356,386,0.6225955578880794
60,1802,0,0.0,50,1400,402,0.616500130242572
81,1883,0,0.0,51,1449,434,0.6104653531155071
45,1928,0,0.0,52,1475,453,0.6044906230241432
20,1948,0,0.0,53,1489,459,0.5985753424904925
100,2048,0,0.0,54,1549,499,0.5927189199815717
39,2087,0,0.0,55,1574,513,0.5869207698502498
41,2128,0,0.0,56,1602,526,0.5811803122766818
8,2136,0,0.0,57,1606,530,0.5754969732103268
19,2155,0,0.0,58,1614,541,0.5698701843125418
39,2194,0,0.0,59,1641,553,0.564299382899748
14,2208,0,0.0,60,1651,557,0.558784011887162
14,2222,0,0.0,61,1657,565,0.5533235197330862
54,2276,0,0.0,62,1684,592,0.5479173603837548
29,2305,0,0.0,63,1706,599,0.5425649932187278
95,2400,0,0.0,64,1761,639,0.5372658829968282
72,2472,0,0.0,65,1794,678,0.5320194998026181
37,2509,0,0.0,66,1817,692,0.5268253189934059
52,2561,0,0.0,67,1847,714,0.5216828211467822
16,2577,0,0.0,68,1858,719,0.516591492008677
53,2630,0,0.0,69,1887,743,0.5115508224419336
73,2703,0,0.0,70,1921,782,0.5065603083753949
52,2755,0,0.0,71,1942,813,0.5016194507534953
89,2844,0,0.0,72,1987,857,0.49672775548635545
34,2878,0,0.0,73,2004,874,0.491884733400372
100,2978,0,0.0,74,2057,921,0.48708990018930043
