iteration,successes,reward_episode,episode_count,random_act,timestep,epsilon
101,12019,202,119,7111,4908,0.31420595121511996
101,12120,202,120,7144,4976,0.311179051426037
101,12221,202,121,7178,5043,0.3081822697930801
101,12322,202,122,7211,5111,0.3052153066355885
101,12423,202,123,7239,5184,0.30227786525477407
101,12524,202,124,7264,5260,0.29936965190405085
101,12625,202,125,7288,5337,0.29649037575966014
101,12726,202,126,7313,5413,0.29363974889158817
101,12827,202,127,7340,5487,0.2908174862347727
101,12928,202,128,7367,5561,0.28802330556059597
101,13029,202,129,7398,5631,0.2852569274486622
101,13130,202,130,7429,5701,0.2825180752588548
101,13231,202,131,7460,5771,0.27980647510367246
101,13332,202,132,7487,5845,0.2771218558208399
101,13433,202,133,7510,5923,0.27446394894619186
101,13534,202,134,7536,5998,0.27183248868682575
101,13635,202,135,7564,6071,0.26922721189452276
101,13736,202,136,7588,6148,0.2666478580394326
101,13837,202,137,7610,6227,0.26409416918402034
101,13938,202,138,7636,6302,0.26156588995727226
101,14039,202,139,7664,6375,0.2590627675291589
101,14140,202,140,7688,6452,0.2565845515853515
101,14241,202,141,7711,6530,0.2541309943021904
101,14342,202,142,7735,6607,0.25170185032190273
101,14443,202,143,7756,6687,0.24929687672806608
101,14544,202,144,7780,6764,0.246915833021317
101,14645,202,145,7805,6840,0.24455848109530054
101,14746,202,146,7836,6910,0.2422245852128597
101,14847,202,147,7866,6981,0.23991391198246126
101,14948,202,148,7891,7057,0.2376262303348566
101,15049,202,149,7913,7136,0.2353613114999746
101,15150,202,150,7937,7213,0.23311892898404435
101,15251,202,151,7966,7285,0.23089885854694553
101,15352,202,152,7989,7363,0.22870087817978443
101,15453,202,153,8010,7443,0.22652476808269262
101,15554,202,154,8035,7519,0.22437031064284702
101,15655,202,155,8053,7602,0.22223729041270818
101,15756,202,156,8081,7675,0.22012549408847562
101,15857,202,157,8103,7754,0.21803471048875708
101,15958,202,158,8127,7831,0.21596473053345028
101,16059,202,159,8143,7916,0.21391534722283462
101,16160,202,160,8171,7989,0.2118863556168713
101,16261,202,161,8191,8070,0.20987755281470882
101,16362,202,162,8212,8150,0.20788873793439305
101,16463,202,163,8233,8230,0.2059197120927785
101,16564,202,164,8254,8310,0.20397027838564025
101,16665,202,165,8268,8397,0.20204024186798297
101,16766,202,166,8290,8476,0.20012940953454655
101,16867,202,167,8310,8557,0.1982375903005053
101,16968,202,168,8329,8639,0.19636459498235934
101,17069,202,169,8354,8715,0.19451023627901587
101,17170,202,170,8369,8801,0.19267432875305937
101,17271,202,171,8387,8884,0.19085668881220733
101,17372,202,172,8408,8964,0.1890571346909509
101,17473,202,173,8433,9040,0.1872754864323783
101,17574,202,174,8449,9125,0.18551156587017906
101,17675,202,175,8468,9207,0.1837651966108269
101,17776,202,176,8483,9293,0.1820362040159407
101,17877,202,177,8503,9374,0.18032441518482004
101,17978,202,178,8532,9446,0.17862965893715535
101,18079,202,179,8544,9535,0.17695176579590954
101,18180,202,180,8564,9616,0.1752905679703703
101,18281,202,181,8579,9702,0.17364589933937066
101,18382,202,182,8594,9788,0.172017595434677
101,18483,202,183,8620,9863,0.17040549342454195
101,18584,202,184,8639,9945,0.16880943209742102
101,18685,202,185,8659,10026,0.16722925184585147
101,18786,202,186,8675,10111,0.16566479465049133
