successes,iteration_mean,iteration_std,successes_episode_mean,successes_episode_std,reward_episode_mean,reward_episode_std,episode_count_mean,episode_count_std,random_act_mean,random_act_std,timestep_mean,timestep_std,epsilon_mean,epsilon_std
12,12.0,,0.0,,0.0,,1.0,,12.0,,0.0,,1.0,
17,16.361702127659576,0.9026895078977187,0.0,0.0,0.0,0.0,1.0531914893617023,0.07522412565814346,16.9468085106383,0.07522412565814228,0.05319148936170213,0.07522412565814335,0.9994760284793445,0.0007410076308083058
22,19.7322695035461,2.139331901284588,0.0,0.0,0.0,0.0,1.1542553191489362,0.13488002482027625,21.845744680851066,0.13488002482027495,0.15425531914893617,0.13488002482027622,0.9984804825900989,0.0013286578841692986
24,21.05904255319149,2.432771406536782,0.0,0.0,0.0,0.0,1.1825797872340424,0.15272126351382473,23.848670212765956,0.17896466112642528,0.15132978723404256,0.17896466112642456,0.9982014677553499,0.0015044059423796538
25,21.942474560592043,2.674832353543542,0.0,0.0,0.0,0.0,1.1815148011100833,0.16493460827979006,24.86468085106383,0.19036074019575794,0.1353191489361702,0.190360740195758,0.9982119585764483,0.0016247155051707478
26,22.779728551920304,2.964595372865729,0.0,0.0,0.0,0.0,1.1842061709049947,0.17782822081690772,25.875354609929076,0.1990020560672641,0.12464539007092197,0.19900205606726287,0.9981854467953154,0.0017517261576056504
37,24.477392484283257,5.772554942282839,0.0,0.0,0.0,0.0,1.6199217073508405,0.29293954134877087,36.744680851063826,0.4223283668357277,0.2553191489361702,0.4223283668357278,0.9938933591898659,0.002885649166484105
38,24.470361932679893,6.277591950364717,0.0,0.0,0.0,0.0,1.666350392482281,0.3172582956352493,37.72598323662154,0.4572947296560202,0.27401676337846553,0.457294729656019,0.9934374908724856,0.003122821433486537
39,26.67112077561661,8.088028611635286,0.0,0.0,0.0,0.0,1.6061065563219652,0.4062992210091107,38.73685706390874,0.45631591775037694,0.2631429360912643,0.45631591775037816,0.9940323935368206,0.003997626166344523
40,28.414431843303024,8.924010529937076,0.0,0.0,0.0,0.0,1.5649559372662447,0.452166096388229,39.74501243437413,0.4604322381690862,0.2549875656258635,0.46043223816908424,0.9944388501133448,0.00444729269081651
47,27.642339995772442,9.167790171444496,0.0,0.0,0.0,0.0,1.8619323406579205,0.5347032784337324,46.571849958552086,0.6894904998823642,0.4281500414479138,0.6894904998823643,0.9915236822740581,0.0052396143830947765
48,27.531794124837806,9.446221809221361,0.0,0.0,0.0,0.0,1.904604576715568,0.5497095057751559,47.547112462006076,0.7251135587233304,0.452887537993921,0.7251135587233286,0.9911053531686886,0.005384186826379005
51,27.729196916074308,9.554325034805244,0.0,0.0,0.0,0.0,2.0124192646864905,0.5512265408812624,50.50699088145897,0.7545779879342545,0.49300911854103346,0.754577987934255,0.990048736845836,0.005391723819744884
56,26.972090457024027,11.555313217214618,0.0,0.0,0.0,0.0,2.2365548557491395,0.575223914441459,55.440121580547114,0.823677474499322,0.5598784194528875,0.8236774744993209,0.9878567089753738,0.005615849787996994
59,27.215326581593864,12.724530701098445,0.0,0.0,0.0,0.0,2.3625987103867288,0.6106949897843834,58.385,0.8642585591956001,0.615,0.8642585591956016,0.9866260774718155,0.00595678946703426
60,26.67554240562305,12.171855560502687,0.0,0.0,0.0,0.0,2.4158426430200626,0.6177067175444431,59.369285714285716,0.878238031980127,0.6307142857142858,0.878238031980127,0.986106612090579,0.006023987768293801
67,29.745753213996938,17.229844440703584,0.0,0.0,0.0,0.0,2.526971645107846,0.821509728182501,66.31801827801827,0.950754916946366,0.681981721981722,0.9507549169463615,0.9850333410629794,0.00802269479171509
68,29.469284002584054,17.542867416570132,0.0,0.0,0.0,0.0,2.5680986873588,0.8303013943202907,67.29790524290524,0.9660231609422363,0.7020947570947571,0.9660231609422363,0.9846321237064591,0.008106684005611526
69,29.696138627828336,17.264684055087212,0.0,0.0,0.0,0.0,2.605427059144417,0.8374109835421855,68.26924519924519,0.9849764231142983,0.7307548007548008,0.9849764231143004,0.9842687828548277,0.008173656406005621
70,30.000354163766858,16.95518540788634,0.0,0.0,0.0,0.0,2.639468594309864,0.8430840870893399,69.23882148715482,1.0032071081225462,0.7611785128451795,1.0032071081225429,0.983937668513767,0.008226367665850776
73,29.85616513410164,16.432259993953156,0.0,0.0,0.0,0.0,2.7784595592532098,0.8378118249743851,72.14755035088369,1.0619113435823329,0.8524496491163158,1.0619113435823313,0.9825858347657621,0.008168915147369052
74,29.689813649403025,16.42940346489579,0.0,0.0,0.0,0.0,2.826446195600785,0.8403939843334228,73.12665044831711,1.061057560295603,0.873349551682885,1.0610575602956032,0.9821195388553714,0.008191897708029515
75,28.67274409970062,15.544370930063993,0.0,0.0,0.0,0.0,2.890683776770733,0.8275952284830669,74.10575054575055,1.060837345716161,0.8942494542494543,1.0608373457161646,0.9814949754447798,0.00806568914458379
77,26.183685434265143,15.078391717364582,0.0,0.0,0.0,0.0,3.031130506637753,0.8304452102993779,76.0639507406174,1.0622980651396936,0.9360492593825929,1.0622980651396945,0.9801321967633325,0.008085106771789948
80,23.78045457896907,15.639408715727109,0.0,0.0,0.0,0.0,3.2150148871525683,0.8576490720295242,79.0012510329177,1.0692140855342875,0.9987489670823003,1.0692140855342889,0.9783512820830761,0.008336537941545865
81,23.8645628123889,15.305480938225934,0.0,0.0,0.0,0.0,3.2614948658426917,0.8747390770259864,79.98035113035114,1.0727642739925642,1.0196488696488697,1.0727642739925625,0.9779024869519878,0.00849783184226129
