iteration,successes,reward_episode,episode_count,random_act,timestep
101,101,101,1,71,30
105,206,105,2,155,51
101,307,101,3,232,75
101,408,101,4,320,88
101,509,101,5,400,109
101,610,101,6,482,128
101,711,101,7,562,149
67,778,67,8,617,161
53,831,53,9,663,168
101,932,101,10,738,194
101,1033,101,11,820,213
101,1134,101,12,900,234
101,1235,101,13,980,255
102,1337,102,14,1066,271
101,1438,101,15,1140,298
101,1539,101,16,1222,317
117,1656,117,17,1319,337
101,1757,101,18,1401,356
101,1858,101,19,1484,374
101,1959,101,20,1568,391
101,2060,101,21,1647,413
101,2161,101,22,1727,434
101,2262,101,23,1804,458
101,2363,101,24,1884,479
101,2464,101,25,1960,504
107,2571,107,26,2047,524
107,2678,107,27,2135,543
101,2779,101,28,2214,565
101,2880,101,29,2291,589
101,2981,101,30,2373,608
117,3098,117,31,2467,631
32,3130,32,32,2495,635
101,3231,101,33,2574,657
101,3332,101,34,2659,673
101,3433,101,35,2735,698
101,3534,101,36,2807,727
101,3635,101,37,2883,752
101,3736,101,38,2972,764
101,3837,101,39,3052,785
105,3942,105,40,3138,804
101,4043,101,41,3220,823
115,4158,115,42,3314,844
101,4259,101,43,3382,877
101,4360,101,44,3462,898
101,4461,101,45,3540,921
101,4562,101,46,3620,942
101,4663,101,47,3703,960
50,4713,50,48,3741,972
104,4817,104,49,3827,990
101,4918,101,50,3903,1015
101,5019,101,51,3978,1041
51,5070,51,52,4028,1042
58,5128,58,53,4077,1051
101,5229,101,54,4157,1072
101,5330,101,55,4239,1091
101,5431,101,56,4321,1110
69,5500,69,57,4383,1117
101,5601,101,58,4468,1133
101,5702,101,59,4552,1150
101,5803,101,60,4635,1168
58,5861,58,61,4683,1178
109,5970,109,62,4775,1195
101,6071,101,63,4858,1213
46,6117,46,64,4901,1216
101,6218,101,65,4978,1240
90,6308,90,66,5057,1251
101,6409,101,67,5140,1269
101,6510,101,68,5229,1281
101,6611,101,69,5307,1304
101,6712,101,70,5386,1326
101,6813,101,71,5468,1345
101,6914,101,72,5553,1361
101,7015,101,73,5635,1380
101,7116,101,74,5711,1405
101,7217,101,75,5796,1421
117,7334,117,76,5886,1448
101,7435,101,77,5966,1469
101,7536,101,78,6043,1493
101,7637,101,79,6124,1513
101,7738,101,80,6206,1532
101,7839,101,81,6284,1555
101,7940,101,82,6362,1578
51,7991,51,83,6402,1589
60,8051,60,84,6455,1596
101,8152,101,85,6533,1619
101,8253,101,86,6606,1647
101,8354,101,87,6687,1667
101,8455,101,88,6765,1690
101,8556,101,89,6844,1712
101,8657,101,90,6924,1733
101,8758,101,91,7006,1752
101,8859,101,92,7088,1771
101,8960,101,93,7169,1791
101,9061,101,94,7250,1811
101,9162,101,95,7331,1831
48,9210,48,96,7373,1837
101,9311,101,97,7452,1859
101,9412,101,98,7538,1874
101,9513,101,99,7619,1894
101,9614,101,100,7707,1907
101,9715,101,101,7782,1933
106,9821,106,102,7868,1953
101,9922,101,103,7948,1974
101,10023,101,104,8032,1991
101,10124,101,105,8114,2010
32,10156,32,106,8143,2013
101,10257,101,107,8224,2033
101,10358,101,108,8309,2049
101,10459,101,109,8387,2072
101,10560,101,110,8468,2092
102,10662,102,111,8549,2113
101,10763,101,112,8632,2131
104,10867,104,113,8715,2152
101,10968,101,114,8799,2169
51,11019,51,115,8846,2173
51,11070,51,116,8890,2180
101,11171,101,117,8977,2194
89,11260,89,118,9056,2204
101,11361,101,119,9135,2226
101,11462,101,120,9217,2245
101,11563,101,121,9299,2264
101,11664,101,122,9382,2282
101,11765,101,123,9460,2305
101,11866,101,124,9538,2328
106,11972,106,125,9622,2350
90,12062,90,126,9695,2367
101,12163,101,127,9770,2393
112,12275,112,128,9859,2416
110,12385,110,129,9947,2438
77,12462,77,130,10010,2452
72,12534,72,131,10072,2462
101,12635,101,132,10149,2486
101,12736,101,133,10230,2506
113,12849,113,134,10324,2525
101,12950,101,135,10404,2546
101,13051,101,136,10483,2568
101,13152,101,137,10562,2590
32,13184,32,138,10591,2593
101,13285,101,139,10673,2612
101,13386,101,140,10752,2634
101,13487,101,141,10828,2659
101,13588,101,142,10912,2676
101,13689,101,143,10986,2703
101,13790,101,144,11067,2723
101,13891,101,145,11144,2747
101,13992,101,146,11217,2775
101,14093,101,147,11304,2789
119,14212,119,148,11403,2809
101,14313,101,149,11480,2833
101,14414,101,150,11562,2852
101,14515,101,151,11643,2872
109,14624,109,152,11730,2894
89,14713,89,153,11805,2908
101,14814,101,154,11884,2930
101,14915,101,155,11964,2951
101,15016,101,156,12046,2970
101,15117,101,157,12121,2996
101,15218,101,158,12205,3013
36,15254,36,159,12235,3019
101,15355,101,160,12320,3035
101,15456,101,161,12400,3056
32,15488,32,162,12428,3060
114,15602,114,163,12517,3085
101,15703,101,164,12597,3106
101,15804,101,165,12676,3128
101,15905,101,166,12760,3145
32,15937,32,167,12790,3147
101,16038,101,168,12873,3165
77,16115,77,169,12939,3176
101,16216,101,170,13019,3197
101,16317,101,171,13094,3223
101,16418,101,172,13176,3242
101,16519,101,173,13251,3268
101,16620,101,174,13331,3289
101,16721,101,175,13418,3303
101,16822,101,176,13501,3321
101,16923,101,177,13589,3334
101,17024,101,178,13659,3365
101,17125,101,179,13742,3383
101,17226,101,180,13825,3401
110,17336,110,181,13913,3423
101,17437,101,182,13993,3444
101,17538,101,183,14071,3467
34,17572,34,184,14097,3475
101,17673,101,185,14185,3488
101,17774,101,186,14260,3514
101,17875,101,187,14335,3540
