iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep
3,2,0,-102,1,3,0
21,22,0,-120,2,14,10
5,26,0,-104,3,19,10
16,41,0,-115,4,30,15
5,45,0,-104,5,32,18
52,96,0,-151,6,72,30
3,98,0,-102,7,73,32
90,187,0,-189,8,148,47
1,187,0,-100,9,149,47
1,187,0,-100,10,149,48
1,187,0,-100,11,150,48
54,240,0,-153,12,191,61
55,294,0,-154,13,232,75
1,294,0,-100,14,233,75
5,298,0,-104,15,236,77
1,298,0,-100,16,237,77
2,299,0,-101,17,239,77
2,300,0,-101,18,241,77
26,325,0,-125,19,260,84
18,342,0,-117,20,277,85
3,344,0,-102,21,280,85
72,415,0,-171,22,345,92
5,419,0,-104,23,350,92
1,419,0,-100,24,351,92
7,425,0,-106,25,356,94
7,431,0,-106,26,362,95
1,431,0,-100,27,363,95
12,442,0,-111,28,371,99
1,442,0,-100,29,372,99
1,442,0,-100,30,373,99
3,444,0,-102,31,375,100
7,450,0,-106,32,380,102
2,451,0,-101,33,382,102
38,488,0,-137,34,410,112
21,508,0,-120,35,426,117
1,508,0,-100,36,427,117
2,509,0,-101,37,429,117
49,557,0,-148,38,469,126
1,557,0,-100,39,470,126
2,558,0,-101,40,472,126
1,558,0,-100,41,472,127
27,584,0,-126,42,496,130
1,584,0,-100,43,496,131
31,614,0,-130,44,521,137
2,615,0,-101,45,522,138
1,615,0,-100,46,523,138
8,622,0,-107,47,529,140
4,625,0,-103,48,532,141
3,627,0,-102,49,535,141
4,630,0,-103,50,539,141
3,632,0,-102,51,542,141
14,645,0,-113,52,552,145
6,650,0,-105,53,556,147
4,653,0,-103,54,560,147
3,655,0,-102,55,562,148
1,655,0,-100,56,562,149
10,664,0,-109,57,571,150
4,667,0,-103,58,574,151
1,667,0,-100,59,575,151
1,667,0,-100,60,575,152
18,684,0,-117,61,590,155
4,687,0,-103,62,592,157
1,687,0,-100,63,593,157
4,690,0,-103,64,596,158
1,690,0,-100,65,597,158
5,694,0,-104,66,601,159
6,699,0,-105,67,607,159
1,699,0,-100,68,608,159
6,704,0,-105,69,612,161
33,736,0,-132,70,640,166
3,738,0,-102,71,642,167
4,741,0,-103,72,646,167
1,741,0,-100,73,647,167
2,742,0,-101,74,649,167
23,764,0,-122,75,669,170
6,769,0,-105,76,675,170
8,776,0,-107,77,681,172
47,822,0,-146,78,719,181
