iteration,successes,reward_episode,episode_count,random_act,timestep
101,17780,101,190,14264,3516
101,17881,101,191,14340,3541
101,17982,101,192,14426,3556
101,18083,101,193,14505,3578
101,18184,101,194,14591,3593
101,18285,101,195,14671,3614
79,18364,79,196,14734,3630
101,18465,101,197,14806,3659
101,18566,101,198,14891,3675
101,18667,101,199,14970,3697
108,18775,108,200,15059,3716
47,18822,47,201,15101,3721
101,18923,101,202,15181,3742
101,19024,101,203,15261,3763
101,19125,101,204,15341,3784
101,19226,101,205,15421,3805
101,19327,101,206,15504,3823
101,19428,101,207,15577,3851
101,19529,101,208,15652,3877
101,19630,101,209,15735,3895
67,19697,67,210,15792,3905
114,19811,114,211,15884,3927
50,19861,50,212,15928,3933
101,19962,101,213,16009,3953
101,20063,101,214,16090,3973
101,20164,101,215,16172,3992
101,20265,101,216,16253,4012
101,20366,101,217,16338,4028
101,20467,101,218,16416,4051
101,20568,101,219,16502,4066
101,20669,101,220,16585,4084
101,20770,101,221,16663,4107
101,20871,101,222,16740,4131
101,20972,101,223,16818,4154
61,21033,61,224,16870,4163
101,21134,101,225,16952,4182
101,21235,101,226,17029,4206
85,21320,85,227,17104,4216
110,21430,110,228,17192,4238
101,21531,101,229,17272,4259
101,21632,101,230,17351,4281
101,21733,101,231,17432,4301
101,21834,101,232,17509,4325
137,21971,137,233,17617,4354
101,22072,101,234,17700,4372
59,22131,59,235,17750,4381
101,22232,101,236,17830,4402
101,22333,101,237,17913,4420
52,22385,52,238,17957,4428
101,22486,101,239,18039,4447
118,22604,118,240,18139,4465
101,22705,101,241,18217,4488
101,22806,101,242,18298,4508
52,22858,52,243,18343,4515
101,22959,101,244,18426,4533
101,23060,101,245,18509,4551
101,23161,101,246,18592,4569
101,23262,101,247,18674,4588
101,23363,101,248,18755,4608
107,23470,107,249,18842,4628
101,23571,101,250,18924,4647
101,23672,101,251,19001,4671
101,23773,101,252,19091,4682
101,23874,101,253,19172,4702
101,23975,101,254,19256,4719
101,24076,101,255,19342,4734
101,24177,101,256,19421,4756
32,24209,32,257,19452,4757
101,24310,101,258,19533,4777
101,24411,101,259,19617,4794
101,24512,101,260,19694,4818
101,24613,101,261,19778,4835
101,24714,101,262,19861,4853
101,24815,101,263,19941,4874
101,24916,101,264,20021,4895
101,25017,101,265,20109,4908
101,25118,101,266,20189,4929
51,25169,51,267,20235,4934
101,25270,101,268,20316,4954
101,25371,101,269,20395,4976
101,25472,101,270,20481,4991
107,25579,107,271,20566,5013
101,25680,101,272,20650,5030
101,25781,101,273,20734,5047
101,25882,101,274,20814,5068
101,25983,101,275,20898,5085
111,26094,111,276,20983,5111
101,26195,101,277,21061,5134
101,26296,101,278,21140,5156
101,26397,101,279,21221,5176
56,26453,56,280,21271,5182
75,26528,75,281,21338,5190
101,26629,101,282,21419,5210
101,26730,101,283,21501,5229
101,26831,101,284,21579,5252
115,26946,115,285,21667,5279
101,27047,101,286,21753,5294
101,27148,101,287,21832,5316
32,27180,32,288,21860,5320
101,27281,101,289,21943,5338
116,27397,116,290,22037,5360
101,27498,101,291,22117,5381
101,27599,101,292,22194,5405
56,27655,56,293,22240,5415
101,27756,101,294,22322,5434
101,27857,101,295,22405,5452
101,27958,101,296,22491,5467
101,28059,101,297,22570,5489
101,28160,101,298,22650,5510
117,28277,117,299,22742,5535
107,28384,107,300,22829,5555
101,28485,101,301,22903,5582
101,28586,101,302,22982,5604
57,28643,57,303,23030,5613
101,28744,101,304,23116,5628
88,28832,88,305,23188,5644
101,28933,101,306,23257,5676
101,29034,101,307,23338,5696
75,29109,75,308,23402,5707
101,29210,101,309,23478,5732
97,29307,97,310,23553,5754
101,29408,101,311,23637,5771
101,29509,101,312,23714,5795
101,29610,101,313,23793,5817
109,29719,109,314,23882,5837
67,29786,67,315,23936,5850
104,29890,104,316,24015,5875
101,29991,101,317,24094,5897
101,30092,101,318,24182,5910
103,30195,103,319,24266,5929
101,30296,101,320,24347,5949
101,30397,101,321,24430,5967
34,30431,34,322,24458,5973
101,30532,101,323,24537,5995
101,30633,101,324,24615,6018
101,30734,101,325,24699,6035
101,30835,101,326,24779,6056
101,30936,101,327,24860,6076
101,31037,101,328,24940,6097
101,31138,101,329,25024,6114
101,31239,101,330,25102,6137
106,31345,106,331,25185,6160
112,31457,112,332,25272,6185
101,31558,101,333,25350,6208
101,31659,101,334,25439,6220
103,31762,103,335,25526,6236
101,31863,101,336,25602,6261
101,31964,101,337,25682,6282
101,32065,101,338,25757,6308
101,32166,101,339,25836,6330
101,32267,101,340,25915,6352
101,32368,101,341,25991,6377
101,32469,101,342,26072,6397
101,32570,101,343,26150,6420
101,32671,101,344,26225,6446
101,32772,101,345,26310,6462
34,32806,34,346,26341,6465
117,32923,117,347,26434,6489
101,33024,101,348,26514,6510
101,33125,101,349,26598,6527
101,33226,101,350,26677,6549
32,33258,32,351,26707,6551
101,33359,101,352,26790,6569
99,33458,99,353,26870,6588
101,33559,101,354,26949,6610
101,33660,101,355,27026,6634
32,33692,32,356,27053,6639
101,33793,101,357,27132,6661
101,33894,101,358,27215,6679
101,33995,101,359,27289,6706
101,34096,101,360,27370,6726
101,34197,101,361,27453,6744
101,34298,101,362,27535,6763
101,34399,101,363,27616,6783
60,34459,60,364,27670,6789
101,34560,101,365,27753,6807
101,34661,101,366,27834,6827
101,34762,101,367,27912,6850
109,34871,109,368,27999,6872
101,34972,101,369,28081,6891
101,35073,101,370,28161,6912
101,35174,101,371,28244,6930
101,35275,101,372,28320,6955
101,35376,101,373,28402,6974
101,35477,101,374,28485,6992
101,35578,101,375,28569,7009
101,35679,101,376,28651,7028
105,35784,105,377,28738,7046
101,35885,101,378,28818,7067
101,35986,101,379,28898,7088
104,36090,104,380,28985,7105
101,36191,101,381,29066,7125
101,36292,101,382,29145,7147
101,36393,101,383,29222,7171
101,36494,101,384,29293,7201
85,36579,85,385,29364,7215
68,36647,68,386,29423,7224
101,36748,101,387,29506,7242
101,36849,101,388,29588,7261
39,36888,39,389,29621,7267
101,36989,101,390,29704,7285
101,37090,101,391,29789,7301
101,37191,101,392,29868,7323
101,37292,101,393,29944,7348
101,37393,101,394,30027,7366
52,37445,52,395,30073,7372
101,37546,101,396,30148,7398
101,37647,101,397,30228,7419
101,37748,101,398,30303,7445
101,37849,101,399,30382,7467
101,37950,101,400,30464,7486
88,38038,88,401,30537,7501
101,38139,101,402,30616,7523
101,38240,101,403,30702,7538
101,38341,101,404,30783,7558
101,38442,101,405,30867,7575
101,38543,101,406,30948,7595
101,38644,101,407,31027,7617
102,38746,102,408,31111,7635
101,38847,101,409,31191,7656
101,38948,101,410,31268,7680
101,39049,101,411,31344,7705
101,39150,101,412,31422,7728
101,39251,101,413,31503,7748
101,39352,101,414,31585,7767
109,39461,109,415,31672,7789
101,39562,101,416,31754,7808
95,39657,95,417,31837,7820
96,39753,96,418,31919,7834
102,39855,102,419,31999,7856
101,39956,101,420,32080,7876
101,40057,101,421,32162,7895
101,40158,101,422,32241,7917
101,40259,101,423,32324,7935
105,40364,105,424,32403,7961
