iteration,successes,reward_episode,episode_count,random_act,timestep
101,101,101,1,71,30
101,202,101,2,151,51
101,303,101,3,228,75
101,404,101,4,316,88
101,505,101,5,397,108
101,606,101,6,478,128
101,707,101,7,560,147
101,808,101,8,641,167
101,909,101,9,725,184
101,1010,101,10,800,210
101,1111,101,11,881,230
101,1212,101,12,962,250
101,1313,101,13,1046,267
101,1414,101,14,1123,291
101,1515,101,15,1203,312
110,1625,110,16,1293,332
101,1726,101,17,1375,351
101,1827,101,18,1458,369
101,1928,101,19,1542,386
101,2029,101,20,1622,407
101,2130,101,21,1704,426
101,2231,101,22,1779,452
101,2332,101,23,1859,473
101,2433,101,24,1937,496
101,2534,101,25,2017,517
101,2635,101,26,2095,540
43,2678,43,27,2135,543
101,2779,101,28,2214,565
101,2880,101,29,2291,589
101,2981,101,30,2373,608
101,3082,101,31,2454,628
101,3183,101,32,2538,645
101,3284,101,33,2619,665
113,3397,113,34,2711,686
101,3498,101,35,2780,718
101,3599,101,36,2856,743
101,3700,101,37,2936,764
32,3732,32,38,2968,764
101,3833,101,39,3049,784
101,3934,101,40,3133,801
101,4035,101,41,3214,821
101,4136,101,42,3295,841
101,4237,101,43,3368,869
101,4338,101,44,3444,894
101,4439,101,45,3519,920
45,4484,45,46,3562,922
101,4585,101,47,3639,946
101,4686,101,48,3719,967
69,4755,69,49,3776,979
101,4856,101,50,3857,999
101,4957,101,51,3928,1029
101,5058,101,52,4016,1042
32,5090,32,53,4047,1043
101,5191,101,54,4125,1066
101,5292,101,55,4204,1088
53,5345,53,56,4253,1092
101,5446,101,57,4333,1113
51,5497,51,58,4380,1117
106,5603,106,59,4470,1133
101,5704,101,60,4553,1151
101,5805,101,61,4636,1169
57,5862,57,62,4684,1178
101,5963,101,63,4769,1194
101,6064,101,64,4851,1213
51,6115,51,65,4899,1216
101,6216,101,66,4976,1240
92,6308,92,67,5057,1251
101,6409,101,68,5140,1269
101,6510,101,69,5229,1281
101,6611,101,70,5307,1304
101,6712,101,71,5386,1326
101,6813,101,72,5468,1345
101,6914,101,73,5553,1361
101,7015,101,74,5635,1380
101,7116,101,75,5711,1405
101,7217,101,76,5796,1421
101,7318,101,77,5872,1446
32,7350,32,78,5902,1448
101,7451,101,79,5978,1473
107,7558,107,80,6060,1498
101,7659,101,81,6142,1517
101,7760,101,82,6222,1538
101,7861,101,83,6296,1565
51,7912,51,84,6343,1569
101,8013,101,85,6421,1592
107,8120,107,86,6509,1611
101,8221,101,87,6580,1641
101,8322,101,88,6659,1663
101,8423,101,89,6741,1682
101,8524,101,90,6822,1702
101,8625,101,91,6899,1726
101,8726,101,92,6981,1745
101,8827,101,93,7062,1765
111,8938,111,94,7155,1783
101,9039,101,95,7235,1804
32,9071,32,96,7256,1815
100,9171,100,97,7338,1833
38,9209,38,98,7372,1837
101,9310,101,99,7451,1859
101,9411,101,100,7537,1874
101,9512,101,101,7618,1894
101,9613,101,102,7707,1906
101,9714,101,103,7781,1933
101,9815,101,104,7864,1951
101,9916,101,105,7942,1974
101,10017,101,106,8026,1991
101,10118,101,107,8110,2008
38,10156,38,108,8143,2013
101,10257,101,109,8224,2033
101,10358,101,110,8309,2049
101,10459,101,111,8387,2072
101,10560,101,112,8468,2092
105,10665,105,113,8551,2114
101,10766,101,114,8633,2133
107,10873,107,115,8721,2152
101,10974,101,116,8805,2169
51,11025,51,117,8852,2173
101,11126,101,118,8940,2186
101,11227,101,119,9025,2202
42,11269,42,120,9064,2205
101,11370,101,121,9142,2228
32,11402,32,122,9171,2231
101,11503,101,123,9249,2254
101,11604,101,124,9329,2275
32,11636,32,125,9358,2278
101,11737,101,126,9436,2301
36,11773,36,127,9467,2306
101,11874,101,128,9546,2328
57,11931,57,129,9591,2340
101,12032,101,130,9671,2361
51,12083,51,131,9714,2369
101,12184,101,132,9786,2398
102,12286,102,133,9868,2418
101,12387,101,134,9948,2439
73,12460,73,135,10009,2451
74,12534,74,136,10072,2462
101,12635,101,137,10149,2486
101,12736,101,138,10230,2506
119,12855,119,139,10329,2526
101,12956,101,140,10409,2547
101,13057,101,141,10487,2570
101,13158,101,142,10567,2591
101,13259,101,143,10651,2608
101,13360,101,144,10728,2632
101,13461,101,145,10809,2652
