iteration,successes,reward_episode,episode_count,random_act,timestep,epsilon
101,101,202,1,101,0,1.0
101,202,202,2,201,1,0.9901493354116764
101,303,202,3,298,5,0.9803966865736877
101,404,202,4,397,7,0.970741078213023
101,505,202,5,493,12,0.9611815447608
101,606,202,6,587,19,0.9517171302557069
101,707,202,7,685,22,0.9423468882484062
101,808,202,8,781,27,0.9330698817068888
101,909,202,9,875,34,0.9238851829227694
101,1010,202,10,969,41,0.9147918734185159
101,1111,202,11,1055,56,0.9057890438555999
101,1212,202,12,1143,69,0.896875793943563
101,1313,202,13,1236,77,0.888051232349986
101,1414,202,14,1325,89,0.8793144766113556
101,1515,202,15,1412,103,0.8706646530448178
101,1616,202,16,1505,111,0.8621008966608072
101,1717,202,17,1593,124,0.8536223510765493
101,1818,202,18,1681,137,0.8452281684304199
101,1919,202,19,1760,159,0.8369175092971592
101,2020,202,20,1840,180,0.8286895426039287
101,2121,202,21,1929,192,0.820543445547202
101,2222,202,22,2006,216,0.8124784035104852
101,2323,202,23,2084,239,0.8044936099828537
101,2424,202,24,2164,260,0.7965882664783007
101,2525,202,25,2246,279,0.7887615824558879
101,2626,202,26,2327,299,0.7810127752406908
101,2727,202,27,2401,326,0.7733410699455306
101,2828,202,28,2481,347,0.7657456993934846
101,2929,202,29,2556,373,0.7582259040411682
101,3030,202,30,2622,408,0.7507809319027796
101,3131,202,31,2696,435,0.7434100384749007
101,3232,202,32,2774,458,0.7361124866620463
101,3333,202,33,2849,484,0.7288875467029541
101,3434,202,34,2924,510,0.7217344960976069
101,3535,202,35,2998,537,0.7146526195349836
101,3636,202,36,3066,570,0.7076412088215263
101,3737,202,37,3145,592,0.7006995628103208
101,3838,202,38,3214,624,0.6938269873309811
101,3939,202,39,3282,657,0.6870227951202322
101,4040,202,40,3350,690,0.680286305753183
101,4141,202,41,3419,722,0.6736168455752829
101,4242,202,42,3477,765,0.6670137476349562
101,4343,202,43,3558,785,0.6604763516169062
101,4444,202,44,3623,821,0.6540040037760834
101,4545,202,45,3683,862,0.64759605687231
101,4646,202,46,3756,890,0.6412518701055556
101,4747,202,47,3822,925,0.6349708090518567
101,4848,202,48,3892,956,0.6287522455998737
101,4949,202,49,3959,990,0.6225955578880794
101,5050,202,50,4019,1031,0.616500130242572
101,5151,202,51,4085,1066,0.6104653531155071
101,5252,202,52,4153,1099,0.6044906230241432
101,5353,202,53,4206,1147,0.5985753424904925
101,5454,202,54,4261,1193,0.5927189199815717
101,5555,202,55,4324,1231,0.5869207698502498
101,5656,202,56,4388,1268,0.5811803122766818
101,5757,202,57,4447,1310,0.5754969732103268
101,5858,202,58,4510,1348,0.5698701843125418
101,5959,202,59,4575,1384,0.564299382899748
101,6060,202,60,4634,1426,0.558784011887162
101,6161,202,61,4688,1473,0.5533235197330862
101,6262,202,62,4741,1521,0.5479173603837548
101,6363,202,63,4795,1568,0.5425649932187278
101,6464,202,64,4849,1615,0.5372658829968282
101,6565,202,65,4909,1656,0.5320194998026181
101,6666,202,66,4968,1698,0.5268253189934059
101,6767,202,67,5015,1752,0.5216828211467822
101,6868,202,68,5065,1803,0.516591492008677
101,6969,202,69,5118,1851,0.5115508224419336
101,7070,202,70,5175,1895,0.5065603083753949
101,7171,202,71,5225,1946,0.5016194507534953
101,7272,202,72,5273,1999,0.49672775548635545
101,7373,202,73,5324,2049,0.491884733400372
101,7474,202,74,5369,2105,0.48708990018930043
101,7575,202,75,5410,2165,0.48234277636582407
101,7676,202,76,5467,2209,0.47764288721360454
101,7777,202,77,5511,2266,0.47298976273981014
101,7878,202,78,5559,2319,0.4683829376281158
101,7979,202,79,5606,2373,0.4638219511921713
101,8080,202,80,5656,2424,0.4593063473295323
101,8181,202,81,5703,2478,0.45483567447604933
101,8282,202,82,5743,2539,0.4504094855607117
101,8383,202,83,5786,2597,0.44602733796093924
101,8484,202,84,5836,2648,0.4416887934583202
101,8585,202,85,5880,2705,0.43739341819478894
101,8686,202,86,5928,2758,0.43314078262923944
101,8787,202,87,5975,2812,0.4289304614945713
101,8888,202,88,6023,2865,0.42476203375516264
101,8989,202,89,6064,2925,0.42063508256476556
101,9090,202,90,6107,2983,0.41654919522482203
101,9191,202,91,6146,3045,0.4125039631431931
101,9292,202,92,6183,3109,0.40849898179329963
101,9393,202,93,6225,3168,0.404533850673669
101,9494,202,94,6272,3222,0.40060817326788506
101,9595,202,95,6309,3286,0.3967215570049359
101,9696,202,96,6350,3346,0.3928736132199562
101,9797,202,97,6389,3408,0.38906395711536096
101,9898,202,98,6414,3484,0.38529220772236483
101,9999,202,99,6452,3547,0.3815579878628856
101,10100,202,100,6493,3607,0.37786092411182526
101,10201,202,101,6522,3679,0.3742006467597279
101,10302,202,102,6564,3738,0.3705767897758081
101,10403,202,103,6598,3805,0.3669889907713475
101,10504,202,104,6633,3871,0.36343689096345594
101,10605,202,105,6665,3940,0.35992013513919235
101,10706,202,106,6698,4008,0.35643837162004377
101,10807,202,107,6734,4073,0.3529912522267568
101,10908,202,108,6766,4142,0.34957843224451957
101,11009,202,109,6799,4210,0.34619957038848975
101,11110,202,110,6836,4274,0.34285432876966604
101,11211,202,111,6875,4336,0.3395423728610988
101,11312,202,112,6912,4400,0.3362633714644372
101,11413,202,113,6945,4468,0.33301699667680906
101,11514,202,114,6972,4542,0.3298029238580304
101,11615,202,115,7004,4611,0.3266208315981408
101,11716,202,116,7039,4677,0.32347040168526264
101,11817,202,117,7069,4748,0.3203513190737793
101,11918,202,118,7104,4814,0.3172632718528302
101,12019,202,119,7140,4879,0.31420595121511996
101,12120,202,120,7172,4948,0.311179051426037
101,12221,202,121,7205,5016,0.3081822697930801
101,12322,202,122,7232,5090,0.3052153066355885
101,12423,202,123,7270,5153,0.30227786525477407
101,12524,202,124,7307,5217,0.29936965190405085
101,12625,202,125,7338,5287,0.29649037575966014
101,12726,202,126,7371,5355,0.29363974889158817
101,12827,202,127,7411,5416,0.2908174862347727
101,12928,202,128,7445,5483,0.28802330556059597
101,13029,202,129,7480,5549,0.2852569274486622
101,13130,202,130,7510,5620,0.2825180752588548
101,13231,202,131,7535,5696,0.27980647510367246
101,13332,202,132,7561,5771,0.2771218558208399
101,13433,202,133,7582,5851,0.27446394894619186
101,13534,202,134,7604,5930,0.27183248868682575
101,13635,202,135,7633,6002,0.26922721189452276
101,13736,202,136,7666,6070,0.2666478580394326
101,13837,202,137,7692,6145,0.26409416918402034
101,13938,202,138,7728,6210,0.26156588995727226
101,14039,202,139,7745,6294,0.2590627675291589
101,14140,202,140,7768,6372,0.2565845515853515
101,14241,202,141,7784,6457,0.2541309943021904
101,14342,202,142,7800,6542,0.25170185032190273
101,14443,202,143,7825,6618,0.24929687672806608
101,14544,202,144,7850,6694,0.246915833021317
101,14645,202,145,7875,6770,0.24455848109530054
101,14746,202,146,7895,6851,0.2422245852128597
101,14847,202,147,7914,6933,0.23991391198246126
101,14948,202,148,7946,7002,0.2376262303348566
101,15049,202,149,7968,7081,0.2353613114999746
101,15150,202,150,7988,7162,0.23311892898404435
101,15251,202,151,8017,7234,0.23089885854694553
101,15352,202,152,8042,7310,0.22870087817978443
101,15453,202,153,8067,7386,0.22652476808269262
101,15554,202,154,8085,7469,0.22437031064284702
101,15655,202,155,8107,7548,0.22223729041270818
101,15756,202,156,8121,7635,0.22012549408847562
101,15857,202,157,8146,7711,0.21803471048875708
101,15958,202,158,8167,7791,0.21596473053345028
101,16059,202,159,8188,7871,0.21391534722283462
101,16160,202,160,8213,7947,0.2118863556168713
101,16261,202,161,8240,8021,0.20987755281470882
101,16362,202,162,8265,8097,0.20788873793439305
101,16463,202,163,8290,8173,0.2059197120927785
101,16564,202,164,8304,8260,0.20397027838564025
101,16665,202,165,8325,8340,0.20204024186798297
101,16766,202,166,8348,8418,0.20012940953454655
101,16867,202,167,8368,8499,0.1982375903005053
101,16968,202,168,8385,8583,0.19636459498235934
101,17069,202,169,8401,8668,0.19451023627901587
101,17170,202,170,8418,8752,0.19267432875305937
101,17271,202,171,8439,8832,0.19085668881220733
101,17372,202,172,8453,8919,0.1890571346909509
101,17473,202,173,8465,9008,0.1872754864323783
101,17574,202,174,8485,9089,0.18551156587017906
101,17675,202,175,8507,9168,0.1837651966108269
101,17776,202,176,8526,9250,0.1820362040159407
101,17877,202,177,8552,9325,0.18032441518482004
101,17978,202,178,8563,9415,0.17862965893715535
101,18079,202,179,8579,9500,0.17695176579590954
101,18180,202,180,8596,9584,0.1752905679703703
101,18281,202,181,8622,9659,0.17364589933937066
101,18382,202,182,8635,9747,0.172017595434677
101,18483,202,183,8650,9833,0.17040549342454195
101,18584,202,184,8671,9913,0.16880943209742102
101,18685,202,185,8690,9995,0.16722925184585147
101,18786,202,186,8712,10074,0.16566479465049133
101,18887,202,187,8731,10156,0.16411590406431734
101,18988,202,188,8744,10244,0.1625824251969801
101,19089,202,189,8759,10330,0.16106420469931504
101,19190,202,190,8769,10421,0.15956109074800714
101,19291,202,191,8786,10505,0.1580729330304087
101,19392,202,192,8794,10598,0.15659958272950783
101,19493,202,193,8808,10685,0.15514089250904667
101,19594,202,194,8818,10776,0.1536967164987875
101,19695,202,195,8838,10857,0.1522669102799259
101,19796,202,196,8852,10944,0.15085133087064845
101,19897,202,197,8866,11031,0.14944983671183457
101,19998,202,198,8888,11110,0.14806228765290044
101,20099,202,199,8897,11202,0.1466885449377839
101,20200,202,200,8910,11290,0.14532847119106862
101,20301,202,201,8919,11382,0.1439819304042466
101,20402,202,202,8936,11466,0.14264878792211688
101,20503,202,203,8951,11552,0.1413289104293205
101,20604,202,204,8960,11644,0.14002216593700811
101,20705,202,205,8972,11733,0.13872842376964165
101,20806,202,206,8985,11821,0.1374475545519262
101,20907,202,207,9000,11907,0.13617943019587256
101,21008,202,208,9016,11992,0.13492392388798838
101,21109,202,209,9026,12083,0.13368091007659658
101,21210,202,210,9038,12172,0.1324502644592803
101,21311,202,211,9053,12258,0.13123186397045208
101,21412,202,212,9062,12350,0.13002558676904785
101,21513,202,213,9070,12443,0.12883131222634217
101,21614,202,214,9077,12537,0.12764892091388555
101,21715,202,215,9089,12626,0.1264782945915614
101,21816,202,216,9104,12712,0.125319316195762
101,21917,202,217,9118,12799,0.12417186982768189
101,22018,202,218,9129,12889,0.12303584074172813
101,22119,202,219,9146,12973,0.12191111533404535
101,22220,202,220,9157,13063,0.12079758113115559
101,22321,202,221,9170,13151,0.11969512677871053
101,22422,202,222,9181,13241,0.11860364203035628
101,22523,202,223,9192,13331,0.11752301773670837
101,22624,202,224,9204,13420,0.116453145834437
101,22725,202,225,9216,13509,0.11539391933546027
