successes,iteration_mean,iteration_std,successes_episode_mean,successes_episode_std,reward_episode_mean,reward_episode_std,episode_count_mean,episode_count_std,random_act_mean,random_act_std,timestep_mean,timestep_std,epsilon_mean,epsilon_std
12,12.0,,0.0,,0.0,,1.0,,12.0,,0.0,,1.0,
17,13.666666666666668,4.714045207910315,0.0,0.0,0.0,0.0,1.2777777777777777,0.39283710065919303,17.0,0.0,0.0,0.0,0.9972637042810213,0.0038697065164431696
20,14.319444444444445,5.367134641431986,0.0,0.0,0.0,0.0,1.4212962962962965,0.44624922911484866,20.0,0.0,0.0,0.0,0.9958499514928821,0.004395851478808393
21,13.333333333333334,4.804511768466525,0.0,0.0,0.0,0.0,1.5416666666666667,0.4389855730355308,21.0,0.0,0.0,0.0,0.9946642233479913,0.004324299639086043
25,10.77956989247312,2.4297804042838878,0.0,0.0,0.0,0.0,1.918010752688172,0.26182781899269947,25.0,0.0,0.0,0.0,0.9909611997179915,0.002574086799861497
26,16.76422287390029,8.568900052375533,0.0,0.0,0.0,0.0,1.6004398826979471,0.569766968653838,25.98181818181818,0.040655781409086635,0.01818181818181818,0.040655781409087086,0.9940902120130396,0.005606776914893498
27,18.45154323998778,8.9315630636152,0.0,0.0,0.0,0.0,1.5519473744451648,0.593541366450503,26.96969696969697,0.07422696190252127,0.030303030303030304,0.07422696190252054,0.9945690835165854,0.005838895594990808
28,18.426490495315065,9.194033322165668,0.0,0.0,0.0,0.0,1.6099384363856304,0.6166987895354199,27.9481351981352,0.10928834264937301,0.05186480186480186,0.10928834264937286,0.993999845069815,0.006064731270187029
36,21.299239269640637,7.92472210924239,0.0,0.0,0.0,0.0,1.939720590445939,0.7344502570127327,35.77564102564103,0.4044257135629821,0.22435897435897437,0.4044257135629818,0.9907705556152354,0.0071981792505637875
37,23.936038560837243,9.088941055430668,0.0,0.0,0.0,0.0,1.8294449576679155,0.7594515246201693,36.797327672327675,0.3936454613647629,0.20267232767232768,0.3936454613647641,0.9918540354597164,0.007445652926122189
47,27.415189613106296,6.98550710857166,0.0,0.0,0.0,0.0,2.1201670244022908,0.7137533731765726,46.69368131868132,0.5515920948577937,0.3063186813186813,0.5515920948577928,0.9890013284268867,0.006984817451186914
52,29.35730069891924,6.952313561402565,0.0,0.0,0.0,0.0,2.263981984794834,0.6993758750270423,51.641858141858144,0.6344455363032555,0.35814185814185817,0.6344455363032547,0.9875933870863305,0.006838754795946359
53,29.61686790013004,7.010724151452125,0.0,0.0,0.0,0.0,2.293631187436972,0.6982691760284645,52.631493506493506,0.651202041443366,0.3685064935064935,0.6512020414433664,0.9873036891072315,0.006826170402909506
65,33.60227310362575,9.41465585450622,0.0,0.0,0.0,0.0,2.6184729759490937,0.718893629728517,64.57305194805194,0.7830157632876026,0.4269480519480519,0.7830157632876029,0.9841356071840676,0.007007441103609789
69,39.18344643573973,15.667929711306934,0.0,0.0,0.0,0.0,2.5168617565572067,0.9102946256333568,68.58556547619048,0.7725522065518117,0.41443452380952384,0.7725522065518113,0.9851383311918804,0.008890826064048498
78,37.15724299192722,12.316568771726525,0.0,0.0,0.0,0.0,2.8036023291080383,0.8601620077584172,77.49364177489177,0.8656764825426615,0.506358225108225,0.8656764825426576,0.982345529060559,0.008374230520257014
85,36.00971134597741,16.347635855956757,0.0,0.0,0.0,0.0,3.016617576920154,0.8229175144658271,84.32755096817597,0.9253212680303683,0.6724490318240318,0.9253212680303663,0.9802722279355217,0.007989622075989753
86,36.36014939567417,16.523948356431525,0.0,0.0,0.0,0.0,3.0407790364841425,0.8276746038417488,85.30382371007371,0.9400050103921112,0.6961762899262899,0.9400050103921126,0.9800379499936035,0.008034280786708363
93,45.589397391458306,23.913136837306165,0.0,0.0,0.0,0.0,2.9407367054772853,1.0876781575767447,92.27057739557739,1.0309861708579577,0.7294226044226044,1.0309861708579604,0.9810299540115412,0.010582926801426366
99,46.476280272088815,20.5584392027668,0.0,0.0,0.0,0.0,3.0740374023041124,1.089171299894424,98.15108669275337,1.152487124147688,0.8489133072466406,1.1524871241476864,0.9797358692639855,0.010580615254456662
100,51.726930744960306,25.18696615207594,0.0,0.0,0.0,0.0,2.8889626072877306,1.2208459467830184,99.21805441805442,1.141805445830618,0.781945581945582,1.1418054458306146,0.9815455427649112,0.011877612580564622
102,51.57425928540871,23.838770687304716,0.0,0.0,0.0,0.0,2.9337706164142947,1.217755908433588,101.1679214929215,1.1786241491792167,0.8320785070785071,1.1786241491792189,0.9811103661773947,0.011842629327108447
104,50.91521027483671,22.730770989676927,0.0,0.0,0.0,0.0,2.9869969928877973,1.215726611443721,103.11778856778855,1.21909034074635,0.8822114322114322,1.2190903407463518,0.9805943012153209,0.011818404269236442
115,47.106869288119285,21.62906572650634,0.0,0.0,0.0,0.0,3.2733134920634925,1.213290739372532,113.84205747955748,1.4923198012109304,1.1579425204425204,1.4923198012109335,0.977820417564659,0.011767250589199753
118,45.79643295235499,22.958804843755093,0.0,0.0,0.0,0.0,3.356335180173261,1.2248142647014861,116.78624704602967,1.5363884206537182,1.2137529539703453,1.5363884206537204,0.9770179646875958,0.011867926233748521
120,45.21530872851213,23.695394932482838,0.0,0.0,0.0,0.0,3.4191829722464404,1.2386111241751465,118.74904009034444,1.567229853924078,1.250959909655562,1.5672298539240779,0.9764125005383508,0.011993032075684187
124,44.8624170059726,24.86083521079923,0.0,0.0,0.0,0.0,3.551116373156932,1.265004026561493,122.68944099378882,1.6345804863711475,1.31055900621118,1.6345804863711468,0.9751421890886348,0.012231659656521704
126,42.51097114470283,21.99833550091916,0.0,0.0,0.0,0.0,3.6398103463394507,1.29150648614489,124.66645962732919,1.6573238385449993,1.3335403726708075,1.6573238385449998,0.9742899895919275,0.012479011756431608
128,40.44312316703095,20.531168419228628,0.0,0.0,0.0,0.0,3.7306207216383704,1.320876395088064,126.63395445134574,1.6729706019423922,1.3660455486542442,1.672970601942395,0.9734180737636008,0.012753907219107317
132,36.78742721168719,22.657614648468584,0.0,0.0,0.0,0.0,3.8882414722362113,1.3639825954591527,130.50494409937886,1.703041666712897,1.495055900621118,1.7030416667128965,0.9719051928129548,0.013152589253533421
138,37.80388327867154,22.322836982476023,0.0,0.0,0.0,0.0,4.062172598132973,1.3838251693537416,136.27392857142857,1.8499632664735775,1.7260714285714287,1.849963266473577,0.9702345312145892,0.013321163543635649
139,38.10611340789852,22.218784414044528,0.0,0.0,0.0,0.0,4.088032805223932,1.3828223678493785,137.2348957607433,1.8793227191937942,1.7651042392566783,1.87932271919379,0.9699858101187455,0.013308773386490298
144,40.192076084108606,21.284512511411165,0.0,0.0,0.0,0.0,4.1981609083479,1.3962381709956744,142.01830313588852,2.029343151682724,1.9816968641114983,2.0293431516827236,0.9689298846620105,0.013425997114695696
147,41.082004109219554,20.504770599685354,0.0,0.0,0.0,0.0,4.267173464537286,1.4050142000766948,144.8721313447594,2.1194741692919576,2.1278686552406065,2.1194741692919594,0.9682687624591411,0.013503614730091722
148,41.45195505493324,20.1867701708581,0.0,0.0,0.0,0.0,4.28804732411921,1.408557973389975,145.8229061612502,2.1504818013217823,2.177093838749808,2.150481801321786,0.9680692108119704,0.013535335210857048
153,40.032770389562224,21.099461051639874,0.0,0.0,0.0,0.0,4.464386318998535,1.4843400032308904,150.57678024370418,2.3139135154344737,2.4232197562958153,2.313913515434474,0.9663913824293152,0.014242859834822146
154,39.702726559936295,21.974773196411405,0.0,0.0,0.0,0.0,4.499102393836469,1.5028170863335935,151.53321023260878,2.340980396430853,2.466789767391224,2.3409803964308544,0.9660613632314691,0.01441493361807764
156,40.45476011280565,21.51922026473515,0.0,0.0,0.0,0.0,4.5442921192699135,1.5142218064348452,153.43697930132706,2.3850571807945067,2.5630206986729496,2.385057180794507,0.9656316213010318,0.014517084795141057
166,42.52849930572386,19.10473360566984,0.0,0.0,0.0,0.0,4.792383603579987,1.5824179514655998,162.987253216347,2.59558296491522,3.0127467836530073,2.5955829649152156,0.963275041023145,0.01513342003851715
176,42.13360219667244,16.216831488371405,0.0,0.0,0.0,0.0,5.073417454165761,1.594987537485532,172.52470661854642,2.8045353431222795,3.475293381453578,2.8045353431222764,0.9605999146108889,0.015205291506587209
180,41.88917870658723,16.76581792895991,0.0,0.0,0.0,0.0,5.176538065107141,1.5904572054590949,176.3045364642747,2.8598548137393855,3.695463535725321,2.8598548137393824,0.9596177698021137,0.015144843196761347
181,41.57807283406593,16.945562178481524,0.0,0.0,0.0,0.0,5.205790440064709,1.5915693112139795,177.25574392570675,2.8669048136907014,3.744256074293257,2.8669048136907014,0.9593398942300982,0.0151508643021791
182,41.08790228972995,17.14049191684458,0.0,0.0,0.0,0.0,5.243875826605287,1.590061342197793,178.21260679254422,2.87604292436287,3.787393207455788,2.8760429243628707,0.9589787941689908,0.015132855752185898
185,39.541395961761815,18.689399203369227,0.0,0.0,0.0,0.0,5.359325620179279,1.5929909269897298,181.11422987581525,2.8566171409453087,3.8857701241847584,2.8566171409453087,0.9578853851405033,0.015147567365905931
187,38.03630267429048,20.396020197876187,0.0,0.0,0.0,0.0,5.446413606718485,1.5975329174609783,183.04378696506745,2.8450719932794852,3.956213034932547,2.845071993279491,0.9570611527451358,0.015182675414174708
